ID,オプション1,オプション2,オプション3,background
1,"""I feel like I can finally see some hope...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
2,Star Man and Trapezoid Man talked while eating red fruit and acorns.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
3,"""Was your trip to Optipul Island for vacation?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
4,asked Trapezoid Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
5,"""...""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
6,"""I was working on dispatch, and my assignment ended at the end of July,
so I thought I'd spend some time free for a while.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
7,"""Summer break on Optipul Island sounds perfect.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
8,"""...Yeah.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
9,Star Man lowered his gaze and closed his eyes.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
10,"""What were you planning to do on Optipul Island?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
11,"""... It's personal...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
12,"Star Man had once worked at a port.
He inspected cargo to be loaded on ships, entered the data,
and had it loaded aboard—those were his duties.",,,res\\image\\black.png
13,"Star Man suffered workplace harassment at his job.
There was nothing wrong with his performance—
it was simply that kind of company culture.",,,res\\image\\black.png
14,"Even if you did nothing wrong,
it was routine to pick fights and hurl abuse as a matter of habit.",,,res\\image\\black.png
15,"At the time, Star Man was dating a woman he met on a matching app—
Rhombus Woman.",,,res\\image\\black.png
16,Dating wasn't all fun; there were times that demanded patience.,,,res\\image\\black.png
17,"In Star Man's case there were last‑minute cancellations,
being used like a handyman, even covering her debts.",,,res\\image\\black.png
18,"Even so he didn't break up with her—
because it wasn't only bad, and because no one is without flaws.
That was how Star Man saw it.",,,res\\image\\black.png
19,"But for Star Man, worn down by work,
that patience became even harsher.",,,res\\image\\black.png
20,"At the end of July Star Man quit his job and decided that, come August,
he'd spend a few months unemployed.
He planned to spend that time with Rhombus Woman.",,,res\\image\\black.png
21,"Star Man told Rhombus Woman as much,
and they decided the two of them would travel to Optipul Island in August.
They made a plan and booked the ship and a hotel.",,,res\\image\\black.png
22,"Then Rhombus Woman confessed she wanted to date another man,
and they broke up.",,,res\\image\\black.png
23,"Star Man became an unemployed man without a girlfriend.
He hesitated over whether to go to Optipul Island.",,,res\\image\\black.png
24,"He'd wanted to go to Optipul Island to begin with,
but in the end the cancellation fee decided it—
he chose to go alone.",,,res\\image\\black.png
25,"It hurt, but suicide never crossed his mind.
He just wanted to spend some time alone.",,,res\\image\\black.png
26,"Listless and unable to feel like doing anything,
a part of Star Man was a little glad to be facing danger now.",,,res\\image\\black.png
27,"""It's just a road trip.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
28,Star Man murmured.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
