ID,オプション1,オプション2,オプション3,,
1,２か月後。実験体の襲撃から２か月が経過していた。,,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,４人は廃墟の前の開けた場所でイカダづくりをしていた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,「実験体たち来ないね」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
4,シカクマンが言った。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
5,「ブイエスコだからね」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
6,サンカクマンがクスクス笑っている。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
7,「ブイエスコ？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,「子供たちの間で流行ってる動画配信者だよ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,ダイケイマンが言った。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"「子供らは攻撃してくる方をブイエスコ、
　してこない方をビムって名前で呼んでる。
　元ネタがどういう人たちかあまり知らないけど」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,「・・・。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"　普通、子供があだ名をつけるときは、
　言われて嬉しくない単語を選ぶもんだ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,ホシマンがサンカクマンを見ると目をそらして笑っていた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"やがて攻撃してきたほうをブイエスコ、
してこない方をビム、と呼ぶようになった。
",,,,
16,"あの日以来、ブイエスコが襲ってくることはなかった。
ホシマンたちは船作りに励んだ。",,,,
17,「だいぶ経つが足の方はどうだ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,ホシマンがダイケイマンに聞いた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,"「すまない。多分もうだめだ。両方とも複雑骨折していて、
　外科手術しないといけなかったんだ。変になってしまった」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,"ダイケイマンの足は実際には複雑骨折ではなく
粉砕骨折しており文字通り骨が粉々になっていた。
",,,,
21,"砕けた骨は自然にはくっつかないためそのままとなった。
そして偽関節、という関節が増える症状が起きていた。
",,,,
22,"足首、かかとに複数の偽関節ができており
体重を支えられなくなってしまっていた。",,,,
23,"「最初は毎秒気絶しそうなくらい痛かったけど、
　今は触らなければ痛みはないよ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,「・・・それはよかった」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
25,,,,,
26,ホシマンとサンカクマンとシカクマンは川にイカダを浮かべた。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
27,「よし・・・」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
28,"ホシマンは慎重にイカダの上に乗った。
イカダは沈むことなく持ちこたえた。",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
29,「イェーイ！！」,res\\image\\daikeiman00.png,,,
30,ダイケイマンが叫んだ。両腕を掲げてガッツポーズしていた。,res\\image\\daikeiman00.png,,,
31,ホシマンたちはイカダを２回作った。,,,,
32,"以前作った１個目のイカダはホシマンが乗ったら
１時間で縄が解けて壊れてしまった。
",,,,
33,"ロープを縛るには知識が必要だったが、誰も知らなかった。
ホシマンたちはとにかく沢山巻くことにした。",,,,
34,"今回作った２個目のイカダは壊れはしなかったものの、
徐々に沈んでいき、５時間で完全に沈んだ。",,,,
35,"「５時間で沈んでしまうのはマズイ・・・。
　特に考えずに家の周りの木材でやってみたが、
　別の木材も試してみたほうがいいのかもしれない」",res\\image\\hoshiman00.png,,,
36,,,,,
37,"その後、ホシマンたちは数日かけて、
様々な木材を集めて川に浮かべ沈みにくい木材を探した。",,,,
38,"（３日くらいすると沈むようになってしまう。
　もしかして沈まないイカダは作れないのか？
　沈みにくいイカダを作って、沈む前に隣の島にたどり着くしかないのかもしれない）",res\\image\\hoshiman00.png,,,
39,"イカダを作る過程で、ホシマンたちは石斧（せきふ）の制作に成功していた。
これで木材を集めていたが、直径５ｃｍの木を切るのに６時間かかり、
２日使ったら石と木のつなぎ目が千切れて使えなくなるという完成度だった。",res\\image\\hoshiman00.png,,,
40,　ホシマンたちは日々試行錯誤しながら改良していた。,,,,
