ID,オプション1,オプション2,オプション3,background,BGM
1,Star Man arrived at Gip Lighthouse.,res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
2,"(First, I'll check the area.)",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
3,"Star Man gripped his weapon in both hands and examined the area around Gip Lighthouse.
There were spots where kitchen waste had been dumped and piles of blue weeds—
signs that someone was still living here.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
4,(I could get jumped from behind at any moment.),res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
5,Star Man sharpened his senses and surveyed the surroundings.,res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
6,"But there were no clues about Square Man.
Star Man headed for the lighthouse entrance.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
7,(…!),res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
8,"There were bloodstains and drag marks before the lighthouse.
The blood and the dragged trail continued into the lighthouse.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
9,(…),res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
10,"There was blood on the door handrail.
When Star Man grasped the doorknob, the door opened.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
11,"(Square Man might be right now on the brink of life or death.
…I have no choice but to steel myself and go!)",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
12,Star Man entered Gip Lighthouse.,res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
13,(!!),res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
14,VSCO’s severed head was hanging from the wall.,res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
15,"The floor was soaked with blood,
and VSCO’s dismembered remains were scattered about.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
16,"(Come to think of it, Vim said it:
VSCO was killed by Gain… Knowing him, he probably toyed with the corpse for pleasure.)",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
17,"Inside Gip Lighthouse was a spiral staircase,
which seemed to run all the way to the top.
Star Man crept up the stairs on tiptoe.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
18,"He listened for any sign of people,
but the sound of wind striking the structure from the top
made it impossible to tell.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
19,"Star Man finished climbing, held his breath, and peered into the top level.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
20,At the top there was a space for someone to stand by.,res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
21,(Dust has piled up. Looks like no one’s using it.),res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
22,"Star Man looked around the waiting area,
but there was nothing except dust-covered junk.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
23,"(There were no clues about Square Man…
I don’t know if that’s good or bad…)",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
24,"From the lookout he gazed outside.
Beyond lay the forests and sea of Prolitan Island.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
25,"(It doesn’t feel like pristine nature.
It’s a stage for hunger… disease… and violence.
Do I wait here for Gain to show, or go see Nes…?)",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
26,(…),res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
27,"(If I just wait here now, I may regret it deeply later.
I’ll go see Nes.)",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
28,"Though he hesitated, Star Man left and chose to go meet Nes.
The shock of VSCO’s body weighed heavily on him.",res\\image\\hoshiman00.png,,res\\image\\talkGip.png,
