ID,オプション1,オプション2,オプション3,Unnamed: 4
,"Star Man arrived at the ruins.
When he went to Trapezoid Man, the kids were there too.",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
,"After thinking a moment, Star Man began talking about what happened at the port ruins.",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
1,"""There was an enormous, fat ghost and a skin‑and‑bones man.
The skinny one kept laughing the whole time—he was creepy.
He laughed and said he'd kill me and my parents because we're ***.""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
2,"""He laughed so hard he couldn't stand and ended up collapsing onto the ground.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
3,"""Hahaha, what's with that guy? Kinda funny.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
4,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
5,"""That's Nes. And the ghost was Noble.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
6,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
7,"""I want to meet him!""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
8,said Triangle Man.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
9,"""...""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
10,"""No. Absolutely not.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
11,"""Aww.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
12,"""Since then, VSCO haven't come.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
13,said Square Man.,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
14,"""Now that you mention it—haven't met Vim either.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
15,"""I wonder what they're doing now.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
16,"""I hear they can live without eating.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
17,(Maybe I should go to See Poroporo.),res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
