ID,オプション1,オプション2,オプション3
1,"As he got closer, one child's head was an isosceles triangle, the other's a parallelogram.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
2,"""Were you two also passengers on the ship that sank the day before yesterday?""",res\\image\\hoshiman00.png,
3,"""...""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
4,The children nodded.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
5,"""Do you have water or food?""",res\\image\\hoshiman00.png,
6,"""...""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
7,The children looked at each other.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
8,"""We haven't eaten or drunk anything.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
9,The triangle‑headed child answered.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
10,"""Then I'll give you these acorns. I'm looking for water too.""",res\\image\\hoshiman00.png,
11,The children peered at the acorns with great interest and took them from Star Man.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
12,"""Thank you.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
13,Star Man cracked an acorn with a stone and showed them.,res\\image\\hoshiman00.png,
14,"""I'm not well versed in survival,
but I just ate it like this and I was fine,
so it should probably be okay.""",res\\image\\hoshiman00.png,
15,"They cracked acorns together, and the children ate.",,
16,"""I'm Star Man. What are your names?""",res\\image\\hoshiman00.png,
17,"""I'm Square Man. And this is Triangle Man.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
18,"It seemed the child with the parallelogram head was Square Man,
and the triangle‑headed one was Triangle Man.
While cracking acorns and letting the kids eat, the three talked.",,
19,"""Do you know each other?""",res\\image\\hoshiman00.png,
20,"""No. We just met.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
21,"""There are strange creatures all over the place...""",res\\image\\hoshiman00.png,
,Star Man looked toward the green monster.,,
22,"""Yeah.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
23,"""It looks like they don't move unless you get close.
If you keep a certain distance, it's safe.""",res\\image\\hoshiman00.png,
24,"""We know.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
25,"""I see. I'm going to look for water now,
but it's dangerous, so I can't take you with me.""",res\\image\\hoshiman00.png,
26,"""Okay.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
27,"Star Man's stamina was nearly gone; if he failed to find water, he would likely die.
And if the children kept waiting here for his return, they might all end up dying together.",,
28,"""I plan to come back here if I find water,
but I'm not sure I can.""",res\\image\\hoshiman00.png,
29,"""Okay.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
30,"""Let's use this as a landmark.""",res\\image\\hoshiman00.png,
31,Star Man pointed at the big rock at his feet.,,
32,"""Got it.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png
33,The children replied.,,
34,"(That said, I don't feel like I can find water.
If there's something man‑made, there might be water nearby.
The mountain path continues toward the summit, so I'll go that way.)",res\\image\\hoshiman00.png,
35,Star Man decided to walk toward the summit.,,
