ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"""Almost there...""",res\\image\\hoshiman00.png,,,
2,"The three of them staggered on and finally neared their destination.
They could already see the sea in the distance.",res\\image\\hoshiman00.png,,,
3,"""Come on—why’d you go and hurt your leg?""",res\\image\\sankakuman00.png,,,
4,Triangle Man said.,res\\image\\sankakuman00.png,,,
5,"""Sorryyy.""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
6,"""Don’t say that. Talk like that, and it’ll come back to bite you later.""",res\\image\\sankakuman00.png,res\\image\\hoshiman00.png,,
7,Star Man looked back and said.,res\\image\\sankakuman00.png,res\\image\\hoshiman00.png,,
8,"""Yeah, yeah. Do me a favor now, and something good will come your way later!""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
9,"""Like what?""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
10,"""Uh? Uhh...""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
11,"""See? You’ve got nothing!""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
