ID,オプション1,オプション2,オプション3,background,bgm
1,"When Star Man returned to the coastal cave, Square Man was crouched,
groaning. The other two sat and watched him.",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,res\\sound\\forest.wav
2,"""What's wrong?""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png,
3,"""I showed him the red fruit and he doubled over. It's the detoxed red fruit.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
4,"""Huh...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
5,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
6,"""There's this thing where ghosts, because of regrets from life,
try to steal your Word Bless...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
7,"""Hmm. Then maybe he once nearly died from that red fruit.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
8,"""Never saw it, but maybe it did happen.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
9,"""Haha, I never noticed. What a poker face.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
10,"""Let's hide the red fruit where it can't be seen.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
11,They decided to stash the red fruit out of sight.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
12,That night.,,,res\\image\\talkKaigan.png,
13,"As the least they could do, they prepared lots of food for Square Man.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
14,"As summer neared on Prolitan Island,
they could harvest mangoes and papayas.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
15,Triangle Man showed Square Man his own bow and arrows.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
16,"""Know what this is? It's a bow and arrows.""",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
17,Square Man watched with interest.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
18,"""You use it like this.""",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
19,Triangle Man loosed an arrow at a target about ten meters away.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
20,<Clang>,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
21,A dry sound rang out when it hit the target.,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
22,"Cautiously handing it to Square Man,
he mimicked and shot at the target too.",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
23,<Clang>,res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
24,"""Like riding a bicycle—movements you can't explain how you control—
he can probably still do those.""",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
25,Star Man said.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
26,That night the four of them played target practice with bows.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
27,"At dawn, they awoke to Square Man coughing.
He seemed in such agony he couldn't get up.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
28,He spat blood; his breathing was shallow and rapid.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
29,(Damn it... there's nothing we can do...),res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
30,Vim stood nearby.,res\\image\\vim00.png,,res\\image\\talkKaigan.png,
31,"""You scared me... I didn't notice you at all.""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
32,Vim watched Square Man's condition with curiosity.,res\\image\\vim00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
33,"""It's Square Man. He became a ghost,
then merged with a monster and turned into Red Man.""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
34,Vim was expressionless.,res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
35,"""Did you know about Red Man?""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
36,"""No.""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
37,"""...""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
38,"""They say Red Man dies in a week.
Do you know any way to save him?""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
39,"""I don't.""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
40,"""...""",res\\image\\vim00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan.png,
41,All three stared down at the ground.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan.png,
42,"Square Man's suffering only worsened;
his groans, coughs, and retching went on and on.",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
43,His breathing was ragged; he cried as he struggled.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
44,(Maybe three hours left to live...),res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
45,"""Let's... put him out of his misery.""",res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
46,Star Man said.,res\\image\\hoshiman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
47,"""...""",res\\image\\sankakuman00.png,res\\image\\shikakuman02.png,res\\image\\talkKaigan.png,
