ID,オプション1,オプション2,オプション3
1,"Star Man headed for the rock he had chosen as a landmark to meet the children.
The cube‑shaped monsters were as numerous as ever, and he advanced carefully to avoid approaching them.
However, he couldn't find the rock in the forest.",res\\image\\hoshiman00.png,
2,(I was stupid... There's no way I could find something like that in the forest...),res\\image\\hoshiman00.png,
3,(...!?),res\\image\\hoshiman00.png,
4,"A disk‑shaped object was closing in right near Star Man.
He backed away to put distance between them.",,res\\image\\enban00.png
5,"(I have to watch out for that one... I thought it was floating, but it has thin legs.)",res\\image\\hoshiman00.png,
6,<BOOM>,,res\\image\\enban00.png
7,(!?),res\\image\\hoshiman00.png,
8,Star Man tried to dodge and tumbled onto the ground.,res\\image\\hoshiman00.png,
9,(It's too fast to dodge!),res\\image\\hoshiman00.png,
10,"A black, eye‑like part was fired and struck Star Man on the upper arm.",,res\\image\\enban00.png
11,(...),res\\image\\hoshiman00.png,
12,"He looked at his upper arm; it had turned red.
Star Man ran away.",res\\image\\hoshiman00.png,
13,"(It had about the force of a stone thrown hard by a person.
If it hit the wrong spot, it could be fatal.
I'd better be careful.)",res\\image\\hoshiman00.png,
