ID,Option 1,オプション2,オプション3,,
1,"A month later, the third‑generation raft was finished.",,,,
2,"Using Raft‑No.3, Star Man and the others practiced, tested, and tweaked it again
and again.",,,,
3,"At first they could row for only about an hour, but by the end of the month,
with breaks, they could row for several hours.",,,,
4,They also measured how far they could travel in an hour.,,,,
5,"Their speed was about 2 km/h; unless wind and current favored them, reaching the
mainland would be impossible.",,,,
6,That day Star Man was loading supplies onto the raft for departure.,res\\image\\hoshiman00.png,,,
7,When he was done he turned to the other two.,res\\image\\hoshiman00.png,,,
8,"""Well... I'm going.""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
9,"""...Yeah. Don't die,"" Trapezoid Man said.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
10,"""...""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
11,None of them were smiling.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
12,—,,,,
13,Just then a black vortex opened and the horned man stepped out.,res\\image\\xeoff00.png,,,
14,"""Ah, uh, hello.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
15,Everyone averted their eyes.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
16,"""So you're really going to try?"" the horned man asked.",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
17,"""Yes,"" Star Man answered.",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
18,(The horned man—he looks the same as ever.),res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
19,"""If you die out there, your contract remains until your body is retrieved.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
20,"""...""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
21,"""If you’re caught by the government, the contract won't vanish—just the
paperwork can't proceed.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
22,"""...""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
23,"""It’s not correct to say the contract disappears. It still exists, but the
paperwork cannot be done.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
24,...,res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
25,(By paperwork he means collecting our lives.),res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
26,"""If you manage to escape the island, I'll void your contract.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
27,"""...!""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
28,"""Well, on a whim. Losing one contract isn't a big loss to me.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
29,"""And it would be troublesome if you became famous using magic in the outside
world.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
30,"""...""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
31,"""Thank you.""",res\\image\\xeoff00.png,res\\image\\hoshiman00.png,,
32,"""Thank you, Mr. Horns!"" Triangle Man said.",res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
33,...,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
34,"""Well then, I'll be off,"" the horned man said, and stepped back into the black
vortex.",res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
35,,res\\image\\xeoff00.png,res\\image\\sankakuman00.png,,
36,,,res\\image\\sankakuman00.png,,
