ID,オプション1,オプション2,オプション3,,
1,"ホシマンは、子供たちとの待ち合わせの際に目印としていた岩に向かった。
立方体のモンスターは相変わらず大量に存在しており、近づかないように気を付けて進んだ。
しかし、森の中の岩を見つけることはできなかった。",res\\image\\hoshiman00.png,,,
2,（バカだった・・・。森であんなもの見つけられるわけがない・・・）,res\\image\\hoshiman00.png,,,
3,（・・・！？）,res\\image\\hoshiman00.png,,,
4,"ホシマンのすぐ近くに円盤状の物体が迫ってきていた。
ホシマンは飛び跳ねて距離をとった。",,res\\image\\enban00.png,,
5,（あいつ、前に見たことがある・・・。浮いてるのかと思ったが、細い足が生えてる）,res\\image\\hoshiman00.png,,,
6,＜ボン＞,,res\\image\\enban00.png,,
7,（！？）,res\\image\\hoshiman00.png,,,
8,ホシマンは避けようとして地面に転がった。,res\\image\\hoshiman00.png,,,
9,（何か飛ばしてきた・・・！）,res\\image\\hoshiman00.png,,,
10,目のような黒い部分が打ち出されホシマンの二の腕に当たった。,,res\\image\\enban00.png,,
11,（・・・）,res\\image\\hoshiman00.png,,,
12,二の腕のほうを見ると赤くなっていた。ホシマンは危険を感じ走って逃げた。,res\\image\\hoshiman00.png,,,
13,（人が思い切り投げた石くらいの威力だった。下手したら死ぬ・・・！）,res\\image\\hoshiman00.png,,,
