ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"Star Man stumbled around in a daze, desperately searching for water.
Fortunately, rain from the recent typhoon had collected in a hollow in the rocks.",,,,
2,(Is this... really safe?),res\\image\\hoshiman00.png,,,
3,"Star Man had only ever drunk treated water, like tap water or bottled drinks.",,,,
4,His smartphone was no longer turning on. Star Man looked around to survey his surroundings.,res\\image\\hoshiman00.png,,,
5,(...),res\\image\\hoshiman00.png,,,
6,"About 100 meters away from Star Man, he spotted a flying saucer gliding roughly a meter above the ground.",,res\\image\\enban00.png,,
7,(It’s too far away to see clearly...),res\\image\\hoshiman00.png,,,
8,"Star Man was curious about the flying object, but right now, the water in front of him was a higher priority.",res\\image\\hoshiman00.png,,,
9,(I don’t have anything to boil it with... I’m at my limit.),res\\image\\hoshiman00.png,,,
10,Star Man brought his nose close to the rainwater.,res\\image\\hoshiman00.png,,,
11,(Ugh... it smells like river water...),res\\image\\hoshiman00.png,,,
12,Star Man dipped his face into the water and drank directly from it.,,,,
13,(It tastes kind of strange... but I can't tell if that's good or bad...),res\\image\\hoshiman00.png,,,
14,"Right after drinking, it didn’t seem too bad, but as time passed, a salty taste began to creep in.",,,,
15,(Ugh... salty... this might be making things worse...),res\\image\\hoshiman00.png,,,
