ID,オプション1,オプション2,オプション3,,
1,モンスターから逃げた後、ホシマンはドングリを拾いながら目印の岩を探し続けた。,res\\image\\hoshiman00.png,,,
2,一日、森の中で迷いに迷い続け、ついに目印の岩を発見した。,res\\image\\hoshiman00.png,,,
3,（これだ・・・！　間違いない！）,res\\image\\hoshiman00.png,,,
4,「おーい！！　だれかー！」,res\\image\\hoshiman00.png,,,
5,ホシマンは大声を出したが反応はなかった。,res\\image\\hoshiman00.png,,,
6,"（時間帯とかも指定しておくべきだったのか？
　さすがにもう死んでしまったか・・・）",res\\image\\hoshiman00.png,,,
7,"水も食料もなく、モンスターが異常に密集した森であったため
生きていると考える方が無理があった。",res\\image\\hoshiman00.png,,,
8,"（いや・・・まだあきらめられない。
　・・・火を起こして煙を出してみよう）",res\\image\\hoshiman00.png,,,
9,ホシマンは山火事にならないように岩の上で火起こしをすることにした。,res\\image\\hoshiman00.png,,,
10,（火おこしは動画では見たことがあるがやったことはないな）,res\\image\\hoshiman00.png,,,
11,１時間後・・・,,,,
12,ホシマンは１時間木の枝をこすり続けて着火することに成功した。,res\\image\\hoshiman00.png,,,
13,（手がすごく痛い・・・）,res\\image\\hoshiman00.png,,,
14,ホシマンの手は傷だらけになっていた。,res\\image\\hoshiman00.png,,,
15,"ホシマンは火を大きくしていき焚火した。
それから山の方に向かって大声を出し続けた。",res\\image\\hoshiman00.png,,,
16,「おーい！　サンカクマーン！！　シカクマーン！！」,res\\image\\hoshiman00.png,,,
17,４時間経過し夕方になったころ、子供たちの声が遠くからした。,res\\image\\hoshiman00.png,,,
18,（よかった・・・！　生きてた・・！）,res\\image\\hoshiman00.png,,,
19,"「おーい！」
ホシマンが声をかけると、サンカクマンたちはホシマンの方に走ってきた。",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
20,「見てごらん。ココナッツの実を見つけたんだ。飲んでいいよ」,res\\image\\hoshiman00.png,,,
21,「うん・・・」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
22,ホシマンはココナッツの実を袋から取り出し、割って子供たちにあげた。,res\\image\\hoshiman00.png,,,
23,「今までどこでいたんだい？」,res\\image\\hoshiman00.png,,,
24,「あっちでドングリ食べてた」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
25,「なるほど。水は？」,res\\image\\hoshiman00.png,,,
26,「白い人がくれた」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
27,「・・・？　白い人・・・？」,res\\image\\hoshiman00.png,,,
28,「わかんない」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
29,"「そうか・・・。　
　向こうにココナッツの木が生えてるところがある。そっちに行こう」",res\\image\\hoshiman00.png,,,
30,「うん」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
31,「途中に、廃墟があるからまずはそこに行って、それからココナッツのところに行こう」,res\\image\\hoshiman00.png,,,
32,「わかった」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
33,「白い人がねー、来たんだよ」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
34,サンカクマンがホシマンに話した。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
35,"「なんかさー、一言もしゃべんなかったんだよね。
　竹おいてどっか行った。竹に水が入ってたんだよー」",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
36,「妖精か・・・もしくは幽霊か・・・」,res\\image\\hoshiman00.png,,,
37,「あはは」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
38,"「君たち。これから行くココナッツの木があるところは、
　緑の立方体のモンスターや円盤状ののモンスターと違うモンスターがいるんだ」",res\\image\\hoshiman00.png,,,
39,「うん」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
40,"「青くてでかい玉みたいなモンスターだ、近づかないように気を付けること。
　青い奴も近づかなければ動かない」",res\\image\\hoshiman00.png,,,
41,３人は廃墟に向かった。,,,,
