ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man left the cave and began heading toward the ruins.,res\\image\\hoshiman00.png,,,
2,"(Come to think of it, I haven’t seen any animals since arriving on this island.
I’ve seen the occasional snake or bug, but no deer or bears or anything like that...)",res\\image\\hoshiman00.png,,,
3,"On the path to the ruins, he spotted a half-circle-shaped monster.",res\\image\\hoshiman00.png,res\\image\\hanen00.png,,
4,(I might have to fight this type of monster many times in the future.),res\\image\\hanen00.png,res\\image\\hanen00.png,,
5,"(It would be helpful to know what kind of enemy it is,
just in case. Maybe I should try fighting it.)",res\\image\\hoshiman00.png,,,
6,"Star Man launched an ice arrow with his magic, piercing through one of the monsters.
The other half-circle-shaped monster leapt into the air.",res\\image\\hoshiman00.png,,,
7,(Can this thing fly?),res\\image\\hoshiman00.png,,,
8,"The monster took flight and charged at Star Man.
Unlike other monsters, the half-circle-shaped one looked thin and light.",res\\image\\hoshiman00.png,res\\image\\hanen00.png,,
9,"(So these things do attack humans too...
Its whole body looks like gelatin, and it doesn’t seem to have claws or any bird-like weapons.
How is it planning to attack?)",res\\image\\hoshiman00.png,,,
10,"As the monster closed in, Star Man struck it down.
At that moment, some liquid splashed onto his right arm and leg.",res\\image\\hoshiman00.png,res\\image\\hanen00.png,,
11,(What is this...?),res\\image\\hoshiman00.png,,,
12,Smoke rose from Star Man’s right arm and leg.,res\\image\\hoshiman00.png,,,
13,(Ah... damn it...),res\\image\\hoshiman00.png,,,
14,"His skin was melting, revealing white fat underneath.
It wasn’t fatal, but the pain was so intense he almost wished it was.",res\\image\\hoshiman00.png,,,
15,"Gritting his teeth, Star Man stomped on the monster over and over.
Eventually, it stopped moving.",res\\image\\hoshiman00.png,res\\image\\hanen00.png,,
16,(Ugh...),res\\image\\hoshiman00.png,,,
17,"Every time Star Man moved, pain shot through him.
(I should really get a bow and arrow... I’ll ask for one when I get back.)",res\\image\\hoshiman00.png,,,
18,Star Man headed for the ruins.,res\\image\\hoshiman00.png,,,
