ID,オプション1,オプション2,オプション3,,
1,１週間後、ホシマンは島を探し続けたが見つけることはできなかった。,res\\image\\hoshiman00.png,,,
2,"ダイケイマンはザルを作り続けた。
１週間作り続けた結果、壊れにくく大きい、
隙間の小さいザルを作れるようになっていた。",res\\image\\daikeiman00.png,,,
3,これに肩ひもを付け、ホシマンや子供たちはこれを背負って出かけるようになった。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
4,"子供たちはココナッツやドングリを集めた。
ザルを使って魚を取ることにも挑戦したが一匹も捕まえることができなかった。",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
5,ある日、ホシマンが帰宅すると子供たちは石槍を持っていた。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
6,「ホシマン、これ作ってみたから明日持って行ってみて」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
7,ダイケイマンは手作りの石槍をホシマンに渡した。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
8,「おお・・、ありがとう」,res\\image\\hoshiman00.png,,,
9,"「ザルもそうだけど、作っていくうちによくなっていくと思う。
　改善点があったら教えてくれ」",res\\image\\daikeiman00.png,,,
10,「わかった」,res\\image\\hoshiman00.png,,,
11,この１週間の間にホシマンたちはモンスターに名前を付けていた。,,,,
12,"立方体状のモンスターはリッポウタイ、
球状のモンスターはキュウ、とそのままの名前を付けていた。",,,,
13,"ホシマンはこの１週間の間に
大きさが２倍のリッポウタイと２分の１のリッポウタイに遭遇しており、
ビッグリッポウタイ、スモールリッポウタイと名付けていた。",,,,
14,"ホシマンは魔法の練習を日常的に行うようにしていた。
まだ、ホシマンの魔法力ではモンスターに魔法を使うより石でも投げた方が有効であった。",,,,
15,それでも亡霊という、魔法しか効かない敵がいるため念のため訓練していた。,,,,
16,―――,,,,
17,ある日、ホシマンがプレシジョンに帰ってくると焼き魚が置いてあった。,,,,
18,「あの子ら、ついにやったよ（笑）ホシマンの分も隣の部屋にあるよ」,res\\image\\daikeiman00.png,,,
19,ダイケイマンが言った。,res\\image\\daikeiman00.png,,,
20,「私もありがたく頂くとしよう」,res\\image\\hoshiman00.png,,,
21,ホシマンは隣の部屋に行った。,res\\image\\hoshiman00.png,,,
22,シカクマンが木の棒に刺さった魚を持ってきた。,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
23,「はい」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
24,「どうも」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
25,"ホシマンは焼き魚を齧った。
ドングリとココナツだけを食べ続けていたため、噛み締めながら食した。",res\\image\\hoshiman00.png,,,
26,「どうやって捕まえたんだ？」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
27,「網を沈めておいて、魚が上を通ったときに網を持ち上げたら掴まれられた」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
28,サンカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
29,「なるほど」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
30,（私も挑戦してみよう・・・）,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
31,ホシマンは明日は山の方に歩いていくことにした。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
