ID,オプション1,オプション2,オプション3,,
1,ホシマンたちは紐と木の棒で即席の担架を作っていた。,res\\image\\hoshiman00.png,,,
2,「そういえば・・・、ここに来る前、シーポロポロでビムに会った」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,ホシマンは言った。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,「おう」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"「ブイエスコ・・・、
　攻撃する方の白い人だけど、さっきの男に殺されたそうだ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,「「・・・！」」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,「そうか・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,「・・・」,,res\\image\\daikeiman00.png,,
9,"「サンカクマン。さっき、あの暴力男にさ、
　仕返ししたいって言ってたじゃん」",,res\\image\\daikeiman00.png,,
10,ダイケイマンは言った。,,res\\image\\daikeiman00.png,,
11,「・・・」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
12,"「悪い人は、悪い人とバトルするから
　遠くから観戦してればいいのよ」",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
13,「・・・」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
14,サンカクマンは納得行かないようだった。,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
15,ホシマンは地図を３人に見せ、南側の海岸を指さした。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,"「ここにダイレクトネクス海岸洞窟というのがある。
　ここに移動したい」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,「おっけー」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,「担架ができたらこの洞窟に場所に行こう」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,「今日は徹夜を覚悟してくれ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,ホシマンが言うと子供たちは頷いた。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
22,深夜,,,,
23,"担架にダイケイマンを乗せホシマン、サンカクマン、
シカクマンは担架を持って出発した。
ダイケイマンはずっと「すんませんです・・・」と言っていた。",,,,
24,"ホシマンたちは必要最小限の荷物だけ持ち、
残りは諦めることにした。武器は廃墟の外に捨てた。
他の人に取られると厄介だと判断したからだった。",,,,
25,ホシマンがプレシジョンの外を伺った。,res\\image\\hoshiman00.png,,,
26,（誰もいないな）,res\\image\\hoshiman00.png,,,
27,プレシジョンを離れるときに作成中のイカダの横を通った。,res\\image\\hoshiman00.png,,,
28,ホシマンは３人の方を見た。,res\\image\\hoshiman00.png,,,
29,「・・・」,res\\image\\hoshiman00.png,,,
30,「イカダはまた作ろう」,res\\image\\hoshiman00.png,,,
31,「おっけー」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
32,"「ノウハウは頭に残ってる。『財産は盗めても知識は盗めない』
　っていう言葉があるんだよ、知ってる～？」",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
33,ダイケイマンがドヤ顔で言った。,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
34,「ふーん」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
35,４人は森の中に入っていった。,,,,
