ID,オプション1,オプション2,オプション3,,
1,（頭が痛い・・・。鼻も痛い・・・。足の裏が痛い・・・）,res\\image\\hoshiman00.png,,,
2,何度も座って歩いてを繰り返していた。,res\\image\\hoshiman00.png,,,
3,ホシマンは座って左腕を見てみた。腕は赤黒くなっていた。,res\\image\\hoshiman00.png,,,
4,（見た目ほどは痛くないな）,res\\image\\hoshiman00.png,,,
5,鳥の鳴く声がひっきりなしにしていた。,res\\image\\hoshiman00.png,,,
6,"（鳥を捕まえて食べられたら良いが、捕まえられっこない。
　鳥の巣から卵が取れれば取りたいが・・・）",res\\image\\hoshiman00.png,,,
7,（鳥の巣なんて生きてきて一度も見つけたことない・・・）,res\\image\\hoshiman00.png,,,
8,ホシマンは上を見上げ、ドングリの木を探した。,res\\image\\hoshiman00.png,,,
9,"（おそらく・・・。ドングリが拾えるのは一年中じゃないだろうから、
　いずれ別の食材探さないといけないだろう。
　ドングリの消費期限はどれくらいだろう。保存がききそうではある）",res\\image\\hoshiman00.png,,,
10,（！！）,res\\image\\hoshiman00.png,,,
11,"ホシマンは「ドン！」という衝撃を受けた。
急いで見渡すとホシマンの体が燃えていた。",res\\image\\hoshiman00.png,,,res\\image\\xeoff00.png
12,「うっ・・・！」,res\\image\\hoshiman00.png,,,res\\image\\ghost00.png
13,"ホシマンは訳も分からず地面を転がりまわった。
しかし転がっても土をかけても炎はなかなか消えなかった。やがてひとりでに炎は消えた。",res\\image\\hoshiman00.png,,,
14,"重度のやけどを負ってしまった。体から煙が上がっている。
ホシマンは状況が掴めなかったが、もう助からないだろう予感がしていた。",res\\image\\hoshiman00.png,,,
15,（！？）,res\\image\\hoshiman00.png,,,
16,周りを見ると半透明で人型の物体がゆっくりと近づいてきていた。,,res\\image\\ghost00.png,,
17,「なんだ・・・？！」,res\\image\\hoshiman00.png,,,
18,その人型の物体は木や岩を貫通してこちらに向かってきていた。,,res\\image\\ghost00.png,,
19,"ホシマンは逃げようとしたが数歩歩くのが精いっぱいだった。
すぐに体力が尽き膝をついた。",res\\image\\hoshiman00.png,,,
