ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"""Just a little more...""",res\\image\\hoshiman00.png,,,
2,"The three of them staggered toward their destination.
The sea was already visible in the distance.",res\\image\\hoshiman00.png,,,
3,"""Geez, why'd you have to go and hurt your leg?""",res\\image\\sankakuman00.png,,,
4,Triangle Man said.,res\\image\\sankakuman00.png,,,
5,"""Sorryyy!""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
6,"""Don't say that. Words like that have a way of coming back to bite you.""",res\\image\\sankakuman00.png,res\\image\\hoshiman00.png,,
7,Star Man turned around and said.,res\\image\\sankakuman00.png,res\\image\\hoshiman00.png,,
8,"""Yeah, that's right. If you help me now, something good will happen to you later!""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
9,"""Like what, exactly?""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
10,"""Uh...? Umm...?""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
11,"""See, nothing!""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
