ID,Option 1,オプション2,オプション3,,
1,"One night, the three of them sat in front of the campfire eating bananas and
papayas.",,,,
2,"""In August it’ll be a year since we signed the contract. I want to leave then
and come back in September. I might die in August, or drop dead the moment I set
foot on the island.""",res\\image\\hoshiman00.png,,,
3,"""I could even die on the ship coming over.""",res\\image\\hoshiman00.png,,,
4,Star Man said while munching on a banana.,res\\image\\hoshiman00.png,,,
5,"""No putting it off or chickening out—make me swear it.""",res\\image\\hoshiman00.png,,,
6,"""I believe you; you've always been reliable,"" Trapezoid Man said.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,"""We'll be waiting!""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
8,"""Thanks. Even if I'm just bones I'll crawl back. If I ask the government for
help I feel like my odds drop, so I'll get a motorboat or something and make it
here myself.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
9,"""Worst case, I'll steal a ship and come as a criminal, but I'll come.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
10,"""O‑oh...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"""When I get close, the contract might reactivate and I could die at the helm. If
that happens, catch the boat somehow.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"""Let’s hope not, but we'd have to secure an unmanned boat in that case,""
Triangle Man replied.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"""Right. Let's pick a date. On September 1st watch the sea from here and see if a
boat shows up.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,...,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"""And if trouble forces a change, meet me at Sinkhat Beach instead.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,...,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,"Trapezoid Man fell silent, thinking.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,"""Are we forgetting anything?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,...,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,They stopped eating and pondered.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,"""Weather’s the thing we always bring up—better think about it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,Trapezoid Man thought a moment.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,"""Starting today let’s watch the north‑west sky and record which weather comes
most often.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"""Well, the raft’s built to survive a capsize, but if the sea gets rough it’s
done for...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
25,"""It’s a hundred kilometers to the opposite shore; even if the raft breaks, we
might make it by swimming.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
26,...,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
27,"""My biggest worry is drifting south into the Brenbar Sea.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,"To the south lay nothing but ocean—no islands, no continent.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
29,"""With only sea around, we might not notice how far we’re swept. Sailors in
movies check their position by the stars...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
30,"""I don't understand how that works,"" Star Man admitted.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
31,"""Me neither...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
32,...,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
33,"""Our best countermeasure may be a sprint—cover the 100 km in one push. The
longer it takes, the farther we drift.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
34,"""Hmm...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
35,"""Star Man, remember that ice‑block‑dropping spell you showed?"" Triangle Man
asked.",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
36,"""Yeah, I showed you.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
37,"""If the ice is floating in mid‑air and you move, what happens to it?""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
38,(continued),res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
39,"""...I see.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
40,"Star Man stuffed the banana into his mouth, raised a hand, and produced ice in
mid‑air.",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
41,"""Triangle Man, pick me up and move me,"" he said.",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
42,"""Uh... okay.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
43,Triangle Man lifted Star Man and carried him about three meters.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
44,The ice didn’t move.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
45,"""Oooh!""",res\\image\\daikeiman00.png,,,
46,Trapezoid Man made a circle gesture with both arms.,res\\image\\daikeiman00.png,,,
47,"""Let’s try it on the sea tomorrow.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
48,—,,,,
49,"Next morning Star Man floated on the water and produced ice. Even when the tide
or his own swimming shifted his position, the ice stayed put.",res\\image\\hoshiman00.png,,,
50,"When he looked at Trapezoid Man and Triangle Man on the beach, they were
laughing and making circle gestures with their arms.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
