ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"(I hadn’t noticed because I was in a daze...
But when I looked around more carefully, I saw monsters everywhere...)",res\\image\\hoshiman00.png,,,
2,"Maybe they couldn’t see—unless I got too close, they didn’t seem dangerous.",,res\\image\\rippoutai00.png,,
3,(...?),res\\image\\hoshiman00.png,,,
4,"He noticed an acorn lying at his feet. It had been in his field of vision, but he hadn’t paid attention to it.",res\\image\\hoshiman00.png,,,
5,"(That's right, acorns should be edible. In Eclipse...
Some were edible and some weren’t, but if they were the edible kind,
you could eat them as-is—I’m pretty sure.)",res\\image\\hoshiman00.png,,,
6,"There was a video-sharing site called Eclipse that was popular in the country where Star Man lived.
He had seen a video there of someone eating acorns.",,,,
7,"Star Man smashed the acorn open with a rock, took out the inside, and put it in his mouth.",res\\image\\hoshiman00.png,,,
8,"(Thank goodness... It’s bitter, but not enough to spit out.)",res\\image\\hoshiman00.png,,,
9,"For Star Man, who had only ever eaten store-bought food until now,
even if it seemed safe, swallowing it still took courage.",res\\image\\hoshiman00.png,,,
10,"After swallowing the first one, Star Man looked around.",,,,
11,(I’ll eat as many as I can find.),res\\image\\hoshiman00.png,,,
