ID,オプション1,オプション2,オプション3,,
1,ホシマンが正面を見ると円柱状の物体が向かってきていた。,res\\image\\enchuu00.png,,,
2,（あ、ヤバい。あれもモンスターか）,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
3,"モンスターは普段、完全に静止しているため発見が難しく、
こちらに向かって来るまで気づかないことが多かった。",res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
4,（今度は円柱の形か・・・）,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
5,モンスターは立方体と同じくらいの大きさで円柱状だった。,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
6,（戦ってみるか・・・？）,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
7,ホシマンは石槍を構えた。,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
8,"ホシマンは１週間モンスターたちから逃げる生活をしており、
その中でも特に、円盤状の敵が投げてくる弾を避けなければいけなかったため
反射神経が研ぎ澄まされていた。",res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
9,＜ザー！＞,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
10,（！！）,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
11,円柱状のモンスターは闘牛のように突進してきた。,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
12,ホシマンは横に飛んで避けた。泥や葉が舞っていた。,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
13,円柱状のモンスターはこちらに振り返り、ジリジリと近寄ってきた。,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,,
14,"（さっきのは離れていたから避けられたけど、
　至近距離でさっきの奴をやられると・・・多分避けられない。
　運悪く踏まれたら即死するかもしれない・・・）",,res\\image\\hoshiman00.png,,
15,円柱状の敵も他の敵同様に数百キロほど体重がありそうだった。,res\\image\\enchuu00.png,,,
16,（逃げよう）,,res\\image\\hoshiman00.png,,
17,"ホシマンは、駆け足で逃げた。
モンスターと戦って勝っても、食べられもしないし資材も手に入らない。
そのため頻繁に通る道や避けて通れない道でない限り逃げていた。",,res\\image\\hoshiman00.png,,
18,"しばらく歩くと開けた場所に出た。
そこには、倒壊した古い家屋があった。
藁や土壁が使われており、現代では見ないタイプの家だった。",,,,
19,家屋の中には人骨が転がっていた。,,,,
20,"（普通に生きてたら家の中に人骨がある状態にはならない。
　事件性がありそうだ・・・）",res\\image\\hoshiman00.png,,,
21,"草で隠れていたが、廃屋から森の奥に向かってうっすらと道の痕跡があった。
木の棒で払いながらホシマンはその方向に進んでいった。
先には小さな墓地と神社があった。",,,,
22,（！！　人だ・・・！）,res\\image\\hoshiman00.png,,,
23,墓地には老婆が座っていた。,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
24,「あの・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
25,ホシマンは恐る恐る話しかけた。,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
26,（またロボみたいな人だったら嫌だな・・・）,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
27,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
28,「ちょっといいか」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
29,「あぁ・・・もうそんなころか・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
30,「？」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
31,「あぁ・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
32,老婆はため息をついた。,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
33,「話が聞きたい」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
34,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
35,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
36,二人の間に沈黙の時間が流れる。,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
37,「いいですよ」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
38,（よかった・・・言葉が通じる人だ・・・）,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
39,「私はここに漂流してきた者だ」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
40,「・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
41,「よろしくどうぞ・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
42,「はい、よろしく」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
43,「そこら中にいる、モンスターのことを教えてほしい。あれは何者なんだ」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
44,「・・・。,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
45,　生物兵器だ。ジーフォークの実験体が捨てられてる」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
46,「・・・！」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
47,ジーフォークはこの島の西の方にある発展途上国だった。,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
48,「・・・そうか・・・」,res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
