ID,オプション1,オプション2,オプション3,,
1,（やったぞ・・・）,res\\image\\hoshiman00.png,,,
2,ホシマンはココナッツの木のところまできた。,res\\image\\hoshiman00.png,,,
3,（地面に実がいくつか落ちてる）,res\\image\\hoshiman00.png,,,
4,台風でココナッツの実が地面に散乱していた。,,,,
5,（ココナッツの木はこんなに大きいのか。木についてる実を取るのは難しそうだ）,res\\image\\hoshiman00.png,,,
6,ホシマンはココナッツの木を見上げた。,res\\image\\hoshiman00.png,,,
7,"（ココナッツとヤシって何が違うんだろう・・・。
　インターネットないからわからない・・・。
　くそ・・・腕に力が入らない・・・）",res\\image\\hoshiman00.png,,,
8,ココナッツの実を岩にたたきつけると中から液体が漏れた。,,,,
9,（一つだけ・・・）,res\\image\\hoshiman00.png,,,
10,ホシマンはココナッツの中身を飲んだ。男が言っていた通り、中には白い可食部があった。,,,,
11,（白いのは動画で見たことがある・・・）,res\\image\\hoshiman00.png,,,
12,持ち運べるココナッツは二つが限界だった。,,,,
13,（なんでもいいから袋状のものが欲しい。一度に２個ずつしか運べないのでは不便すぎる）,res\\image\\hoshiman00.png,,,
14,（・・・！）,res\\image\\hoshiman00.png,,,
15,ホシマンがココナツの木のところまで来ると、遠くに青い球状の物体の姿があった。,,res\\image\\sphere00.png,,
16,"（立方体のモンスター・・・の、仲間だろうな・・・。
　あのデカさ・・・近づかないでおこう）",res\\image\\hoshiman00.png,,,
17,"球状のモンスターは立方体のモンスター同様に１メートルくらいの大きさがあった。
立方体ほどではないがこちらも数百キログラムくらいの重さがありそうだった。",,res\\image\\sphere00.png,,
18,（一辺が５０センチの球の体積ってどうやって求めるんだっけ・・・忘れた・・・）,res\\image\\hoshiman00.png,,,
19,（ココナッツの実を二つ採取して彼のところに行こう）,res\\image\\hoshiman00.png,,,
20,【マップ情報が更新された】,,,,
