ID,Option 1,オプション2,オプション3,,
1,Star Man arrived at Gip Lighthouse.,res\\image\\hoshiman00.png,,,
2,"(First, let's scout the area.)",res\\image\\hoshiman00.png,,,
3,"Star Man gripped his weapon in both hands as he circled the base of Gip Lighthouse.
He found spots strewn with food scraps and heaps of blue weeds—signs that someone was still living here.",res\\image\\hoshiman00.png,,,
4,(Someone could strike from behind without warning.),res\\image\\hoshiman00.png,,,
5,Star Man sharpened his senses and continued surveying the surroundings.,res\\image\\hoshiman00.png,,,
6,"But there was no trace of Square Man.
Star Man headed for the lighthouse entrance.",res\\image\\hoshiman00.png,,,
7,(...!),res\\image\\hoshiman00.png,,,
8,"Blood and drag marks lay before the tower.
The crimson trail led straight inside.",res\\image\\hoshiman00.png,,,
9,(...),res\\image\\hoshiman00.png,,,
10,"Blood stained the door's handrail.
When Star Man grasped the knob, the door was already unlatched.",res\\image\\hoshiman00.png,,,
11,"(Square Man could be teetering between life and death right now.
 I have to brace myself and go in!)",res\\image\\hoshiman00.png,,,
12,Star Man stepped inside Gip Lighthouse.,res\\image\\hoshiman00.png,,,
13,(!!),res\\image\\hoshiman00.png,,,
14,VSCO's severed head hung from the wall.,res\\image\\hoshiman00.png,,,
15,"The floor was splattered with blood, and VSCO's dismembered body parts were scattered everywhere.",res\\image\\hoshiman00.png,,,
16,"(Come to think of it, Vim said VSCO was killed by Gain...
 That monster probably toyed with the corpse for pleasure.)",res\\image\\hoshiman00.png,,,
17,"A spiral staircase rose within the lighthouse,
reaching all the way to the top.
Star Man crept upward.",res\\image\\hoshiman00.png,,,
18,"He strained to detect any presence, but the wind striking the building from above drowned out every sound.",res\\image\\hoshiman00.png,,,
19,"Star Man reached the top and, holding his breath, peeked into the room.",res\\image\\hoshiman00.png,,,
20,The summit held a small space where a lookout might stand.,res\\image\\hoshiman00.png,,,
21,(Dust has piled up. No one has used this place.),res\\image\\hoshiman00.png,,,
22,"He inspected the area, but found only dust‑covered junk.",res\\image\\hoshiman00.png,,,
23,(No clue about Square Man... I can’t tell whether that’s good or bad...),res\\image\\hoshiman00.png,,,
24,"From the watch deck, Star Man looked out across the island.
Forests and sea of Prolitan Island stretched to the horizon.",res\\image\\hoshiman00.png,,,
25,"(It doesn’t feel like pristine nature.
 It’s a stage for hunger... disease... and violence.
 Should I wait here for Gain, or go see Nes?)",res\\image\\hoshiman00.png,,,
26,(...),res\\image\\hoshiman00.png,,,
27,"(If I stay and wait, I might deeply regret it later.
 I’ll go meet Nes.)",res\\image\\hoshiman00.png,,,
28,"After some hesitation, Star Man chose to leave and search for Nes—largely because the sight of VSCO’s corpse weighed heavily on him.",res\\image\\hoshiman00.png,,,
