ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"While walking, Star Man came across a tropical-looking tree bearing many red fruits.",,,,
2,"(I’ve seen this tree before.
Or maybe it’s more like a giant plant than a tree...
The fruit smells kind of like something edible...)",res\\image\\hoshiman00.png,,,
3,Star Man took a small bite.,res\\image\\hoshiman00.png,,,
4,(I can't really tell... It's a flavor I've never tasted before...),res\\image\\hoshiman00.png,,,
5,He put some of the fruit into his bag and decided to head back to the ruins for the day.,res\\image\\hoshiman00.png,,,
6,(Ah... crap... I messed up.),res\\image\\hoshiman00.png,,,
7,"While walking, a sharp pain struck his stomach and he started to vomit.
Cold sweat drenched his face from the agony.",res\\image\\hoshiman00.png,,,
8,(I... I'm going to die...),res\\image\\hoshiman00.png,,,
9,"He realized he couldn’t move his fingers or toes.
His hands trembled, and pain shot through his eyes and head.
Star Man could no longer stay on his feet. He tried to lie down—and collapsed.",res\\image\\hoshiman00.png,,,
10,"(Should I drink the Word Breath...?
I just died yesterday... Am I really going to use the last bottle already...?
I don’t want that...)",res\\image\\hoshiman00.png,,,
