ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man and the others arrived at the ruin.,,,,
2,"""Excuse us. I’m Star Man.""",res\\image\\hoshiman00.png,,,
3,Star Man and the others walked toward Trapezoid Man’s room.,,,,
4,"""Hello? Anyone home?""",res\\image\\shikakuman00.png,,,
5,There was a noise from inside the room.,,,,
6,"""O-oh, hey.""""",,,,
7,"When they peeked in, Trapezoid Man was just getting up.
He was gritting his teeth in pain.",res\\image\\daikeiman00.png,,,
8,"""You can stay lying down.""",res\\image\\hoshiman00.png,,,
9,"""No, I’m fine.""",res\\image\\daikeiman00.png,,,
10,"""...
 These are the kids I mentioned earlier.""",res\\image\\hoshiman00.png,,,
11,"""N-nice to meet you...""""",res\\image\\daikeiman00.png,,,
12,"""It’s a pleasure to meet you.""
""It’s a pleasure to meet you.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
13,"""If you’d like, please go ahead.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
14,Star Man and the others handed the coconuts to Trapezoid Man.,,,,
15,"""Ah, thank you, thank you.""",res\\image\\daikeiman00.png,,,
16,"After the introductions, Star Man and the others moved to another room.
It was full of dust and garbage, but they no longer had the energy or will to clean it.",,,,
17,"""Let’s rest for now... I can’t do anything more today.""",res\\image\\hoshiman00.png,,,
18,Star Man and the others decided to sleep for a while.,,,,
