ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"Star Man woke up with a sore throat, a stuffy nose, and a pounding headache.
On top of that, his whole body ached, and he couldn’t get up for a while.",res\\image\\hoshiman00.png,,,
2,The kids were sitting and talking about something.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
3,(How can they already be awake...?),res\\image\\hoshiman00.png,,,
4,"About an hour and a half later, Star Man managed to get up.
Pain shot through the arm that had been hit by the disc-shaped monster.",res\\image\\hoshiman00.png,,,
5,(Ugh... my arm...),res\\image\\hoshiman00.png,,,
6,Star Man grabbed his injured left arm with his other hand and slowly moved it.,res\\image\\hoshiman00.png,,,
7,"(My chest feels tight... Maybe it's because I've only been eating coconuts and acorns...?
 I should try to find something more like vegetables...)",res\\image\\hoshiman00.png,,,
8,"Because it was dangerous outside, Star Man decided to go out alone.",,,,
9,"""I'm going to gather some acorns. It's dangerous out there,
 So please stay here. Check on Trapezoid Man from time to time.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
10,"""Oh, and it would help a lot if you could do some cleaning too.""",res\\image\\hoshiman00.png,,,
11,"""Yeah.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
12,"""Okaaay!""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
13,(They're just kids doing the cleaning... I shouldn't expect too much...),res\\image\\hoshiman00.png,,,
14,Star Man went to Trapezoid Man’s room.,res\\image\\hoshiman00.png,,,
15,"""I'm heading out to gather more acorns.
I told the kids to stay behind and do some cleaning.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,"""Ugh... ah... Do your best out there.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
