ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"A week later, Star Man was still searching for another island—but hadn’t found one.",res\\image\\hoshiman00.png,,,
2,"Trapezoid Man kept making baskets.
After a week of practice, he was able to craft large, durable baskets with very small gaps.",res\\image\\daikeiman00.png,,,
3,"They attached shoulder straps, and Star Man and the kids began using them as backpacks when going out.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
4,"The children gathered coconuts and acorns.
They also tried using the baskets to catch fish, but didn’t manage to catch even one.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
5,"One day, when Star Man came home, he found the children holding stone spears.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
6,"""Star Man, I made this—try taking it with you tomorrow.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
7,Trapezoid Man handed Star Man a handmade stone spear.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
8,"""Oh... thanks.""",res\\image\\hoshiman00.png,,,
9,"""Just like with the baskets, I think things will get better the more we make them.
Let me know if there’s anything that could be improved.""",res\\image\\daikeiman00.png,,,
10,"""Got it.""",res\\image\\hoshiman00.png,,,
11,"During the past week, Star Man and the others had started naming the monsters.",,,,
12,"The cube-shaped ones were simply called “Cube,”
and the spherical ones were called “Sphere.”",,,,
13,"Over the week, Star Man encountered a Cube twice the usual size and another half the size.
He named them “Big Cube” and “Small Cube.”",,,,
14,"Star Man made a habit of practicing magic regularly.
But with his current magical power, throwing rocks was still more effective than casting spells on monsters.",,,,
15,"Even so, he kept training—just in case they had to face ghosts, which could only be harmed by magic.",,,,
16,———,,,,
17,"One day, when Star Man returned to Precision, he found grilled fish waiting for him.",,,,
18,"""The kids finally pulled it off, haha! There’s one for you in the next room too.""",res\\image\\daikeiman00.png,,,
19,Trapezoid Man said.,res\\image\\daikeiman00.png,,,
20,"""Then I’ll gratefully accept it.""",res\\image\\hoshiman00.png,,,
21,Star Man went to the next room.,res\\image\\hoshiman00.png,,,
22,Rectangle Man brought him a fish skewered on a stick.,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
23,"""Here.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
24,"""Thanks.""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
25,"Star Man bit into the grilled fish.
After surviving on nothing but acorns and coconuts, he savored every chew.",res\\image\\hoshiman00.png,,,
26,"""How did you catch it?""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
27,"""We sank the basket and waited until a fish swam over it—then lifted it and caught one.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
28,Triangle Man said.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
29,"""I see.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
30,(I should give it a try too...),res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
31,Star Man decided to head into the mountains the next day.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
