ID,Option 1,オプション2,オプション3,,
1,"Two months later, the raft was nearly finished. A sail had been added so that
with a tailwind it could generate thrust.",,,,
2,They were unaware that a technique exists to sail even against the wind.,,,,
3,"Not knowing such a method existed, the idea of researching it never crossed
their minds.",,,,
4,Work on the escape routes and storage caches was complete.,,,,
5,They picked two cache spots and stocked them with food.,,,,
6,"The first was Ubuntu Cave, which they had visited before. Last time ghosts drove
them back, but with Star Man's stronger magic",,,,
7,he easily exterminated the spirits and secured the cave.,,,,
8,"The second site was RedPat Riverside—literally the riverbank of the RedPat
River.",,,,
9,"Because water is vital, they chose this as their second food cache.",,,,
10,Star Man hid food and daily necessities in Ubuntu Cave and at RedPat Riverside.,,,,
11,"""…""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"""Hey, Star Man…""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"Trapezoid Man whispered; when Star Man looked, he saw Trapezoid Man point at
Triangle Man.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,Triangle Man was shaping a stone into a knife.,res\\image\\sankakuman00.png,,,
15,"He had thrown himself into forging weapons and training, clearly bent on
revenge, yet neither Star Man nor Trapezoid Man could bring it up.",res\\image\\sankakuman00.png,,,
16,"Since that day, neither Nes nor Gain had shown up.",,,,
