ID,Option 1,オプション2,オプション3,,
1,"Two months later, the raft was nearly finished.
A sail had been attached so that with a tailwind it could generate thrust.",,,,
2,They were unaware of techniques to sail even into a headwind.,,,,
3,"Because they didn't know such methods existed, the idea of researching
them never occurred.",,,,
4,The escape routes and storage caches were complete.,,,,
5,They chose two cache spots and stocked them with food.,,,,
6,"The first was Ubuntu Cave, which they'd visited before.
Last time ghosts forced them back, but thanks to Star Man's stronger magic",,,,
7,"he could now defeat them with ease, clearing the cave.",,,,
8,The second spot was RedPat Riverside—a bank along the RedPat River.,,,,
9,"Since water was essential for survival, they made this their second food cache.",,,,
10,Star Man hid food and supplies in both Ubuntu Cave and at RedPat Riverside.,,,,
11,"Since that day, neither Nes nor Gain had appeared.",,,,
