ID,オプション1,オプション2,オプション3,background,BGM
1,Star Man and the others improvised a stretcher with rope and wooden poles.,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,res\\sound\\weak.wav
2,"""Come to think of it... before coming here, I met Vim at See Poroporo.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
3,said Star Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
4,"""Oh.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
5,"""VSCO—the attacking white person—was killed by that man earlier.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
6,"""""..!""""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
7,"""...I see.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
8,"""...""",,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
9,"""Triangle Man. Earlier you said you wanted payback on that violent guy, right?""",,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
10,said Trapezoid Man.,,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
11,"""...""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
12,"""Bad people fight bad people,
so we can just watch from a distance.""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
13,"""...""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
14,"""We don't need to fight. The truly bad ones will fight each other.
We should think about escape.""",res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
15,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
16,"""...Got it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
17,Square Man and Triangle Man lifted the stretcher.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
18,"""It's heavy... but we can carry it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
19,"""We'll switch off. Slowly, little by little, inch by inch—we'll get there.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
20,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png,
21,"""We'll move our things to another room too.
The plan is to withdraw from this place once.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
22,"""Okay.""",,,res\\image\\talkPrecision.png,
23,"""We'll come back when things have calmed down.""",,,res\\image\\talkPrecision.png,
24,"""Yeah.""",,,res\\image\\talkPrecision.png,
25,Star Man began gathering their belongings and putting them in baskets.,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
26,"""Those will come in handy.
We can keep making more whenever we want.""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
27,said Trapezoid Man.,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
28,Star Man nodded slightly.,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
29,"""You remember how to make them?""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
30,"""Yeah. Probably (laughs).""",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
31,"""Okay.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
32,"""Know‑how stays in your head. There's a saying,
'You can steal property, but you can't steal knowledge.' You know it?""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
33,Trapezoid Man said with a smug look.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
34,"""Huh.""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
35,The four headed into the forest.,,,res\\image\\talkPrecision.png,
36,"[With Trapezoid Man on the stretcher, head for the Coastal Cave.]",,,,
37,"[In Stretcher Mode, you can't jump or attack.]
[If you enter rivers or the sea in Stretcher Mode, everyone's stamina will be drained massively.]",,,,
38,"[Normally, using ""Rest 3 Hours"" lowers NPC status,
 but during Stretcher Mode, using ""Rest 3 Hours"" restores NPC status.]",,,,
39,"[If an NPC dies, Stretcher Mode ends,
 and surviving NPCs remain where they are.]",,,,
40,"[If an NPC dies underwater, all other NPCs also die.]",,,,
41,"[If Star Man dies during Stretcher Mode, all NPCs die as well.]",,,,
