ID,オプション1,オプション2,オプション3,background
1,３人はダイケイマンの部屋に集まった。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
2,「・・・。今日、私は悪魔と契約した」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
3,"「契約しなければ死んでいた。契約するしかなかった。
　一度、死から蘇った代わりに１年後に死ぬ契約だ」",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
4,（・・・）,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
5,（・・・失敗した気がする・・・どう話せばよかったのだろう・・・）,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
6,「は・・・はぁ」,res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png
7,ダイケイマンたちは突然の話に理解が追い付かなかった。,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
8,"「モンスターに襲われて、死ぬことになったとき、
　角の生えた人が現れて契約を勧められた。受けるしかなかった。」",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
9,ホシマンは手から炎を出した。,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
10,「悪魔と契約した証拠に、魔法が使える」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
11,「・・・」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
12,「一年以内にこの島から脱出することを目標にしたいと思う」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
13,「え・・・いや・・・、そんなことあるわけ・・・」,res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png
14,"ダイケイマンはすぐには呑み込めなかったが、
子供たちは反対にすぐに受け入れていた。",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
15,その後、ドングリを食べながら、角の生えた人、亡霊、魔法、小瓶のことを話した。,,,res\\image\\talkPrecision.png
16,「そうだ。モンスターの一部をもってきてみた」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
17,ホシマンは葉っぱを取り出し、開いた。皆覗き込んだ。,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
18,「工場の匂いがする・・・病気になりそうだ・・・」,res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png
19,３人とも顔をしかめた。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
20,「明日、私はドングリ探しながら、周りに島がないか探してみる」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
21,「わかった。俺は・・・すまんができることはない・・・」,res\\image\\daikeiman00.png,,res\\image\\talkPrecision.png
22,"「大丈夫、気にしないでくれ。
　サンカクマンとシカクマンにはココナッツを集めてもらおうかな」",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
23,「うん」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
24,「石をココナッツの実に投げて、落として、それを集めてくれ」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
25,「はーい」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
26,「くれぐれも気をつけること」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
27,「よく頭に当たるんでしょ（笑）」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
28,「・・・」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
29,【NPCのステータスを確認しよう】,,,res\\image\\talkPrecision.png
30,"【ステータスのどれか一つでも０になるとNPCは死亡する】
【水分は残り９０となったら死亡する】",,,res\\image\\talkPrecision.png
31,【倉庫に食材を入れておくと必要に応じて消費するようになる】,,,res\\image\\talkPrecision.png
