ID,オプション1,オプション2,オプション3
1,Star Man left the cave and headed for the ruins.,res\\image\\hoshiman00.png,
2,"(Come to think of it, since arriving on this island I haven't seen animals.
I sometimes see snakes and insects, but are there no deer or bears?)",res\\image\\hoshiman00.png,
3,On the way to the ruins he found a semicircular monster.,res\\image\\hoshiman00.png,res\\image\\hanen00.png
4,(There may be times ahead when I'll have to fight this thing again and again.),res\\image\\hanen00.png,res\\image\\hanen00.png
5,"(If I know what kind of enemy it is, it'll help when it counts.
I should try fighting it.)",res\\image\\hoshiman00.png,
6,"Star Man picked up a stone and threw it toward the monsters.
One ran away, but the other came at him.",res\\image\\hoshiman00.png,
7,"The monster flew and charged at Star Man.
Unlike the others, the semicircular one had little thickness and looked light.",res\\image\\hoshiman00.png,res\\image\\hanen00.png
8,"Timing its approach, Star Man swatted the enemy down.
Liquid splashed onto his right arm and right leg.",res\\image\\hoshiman00.png,res\\image\\hanen00.png
9,Smoke rose from Star Man's right arm and right leg.,res\\image\\hoshiman00.png,
10,(Ah... I messed up...),res\\image\\hoshiman00.png,
11,"His skin dissolved, exposing white subcutaneous fat.
It wasn't instantly fatal, but pain so bad that death seemed preferable assaulted him.",res\\image\\hoshiman00.png,
12,"Gritting his teeth, Star Man stomped the monster over and over.
The monster stopped moving.",res\\image\\hoshiman00.png,res\\image\\hanen00.png
13,(Guh...),res\\image\\hoshiman00.png,
14,"Every time Star Man moved, intense pain shot through him.
(I should have a bow and arrows after this... I'll ask when I get back.)",res\\image\\hoshiman00.png,
15,Star Man headed for the ruins.,res\\image\\hoshiman00.png,
