ID,オプション1,オプション2,オプション3,,
1,ある日の夜、３人は焚火の前に座ってバナナとパパイヤを食べていた。,,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,"「８月で契約してから１年になる。９月になってから戻ってきたい。
　８月で死んでしまうかもしれないし、
　戻ってきて島に降り立った時に死んでしまうかもしれない。",res\\image\\hoshiman00.png,,,
3,　来る途中の船で死ぬかもしれない」,res\\image\\hoshiman00.png,,,
4,バナナを食べながらホシマンは言った。,res\\image\\hoshiman00.png,,,
5,"「面倒くさがったり、怖がって、戻ってこない、
　というのは絶対にしない。誓わせてくれ」",res\\image\\hoshiman00.png,,,
6,「あぁ信じる。日頃の行いがいいからな」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,「まってるよー」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
8,"「ありがとう。骨になっても戻って来てみせる。
　政府に協力を要請したら余計に戻ってこれる確率が減る気がする。
　どうにかしてモーターボートみたいのを手に入れてこっちに来るよ。",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
9,　最悪、船を盗んで、犯罪者になってでも必ず来る」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
10,「お、おう・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"「島に戻ってくるときだけど、島に近づいたら契約が復活して
　船を操縦しながら死んでしまうかもしれない。
　その場合、何とかして船を捕まえてくれ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"「もし、まぁ・・・ないほうがいいけど、
　その場合は、無人状態の船を捕まえないといけないな」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"「そうだ。とりあえずの決行日を決めておこう。
　９月１日になったらここから海の方に船が来ていないか見ていてくれ。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,　・・・。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"　それと、もし、事件に巻き込まれたとかで、
　この場所が難しかったらシンクハット海岸に来てくれ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,ダイケイマンは考え込んだ。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,「何か見落としてることはないかな」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,「「・・・」」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,３人は食べるのを一度止め考え込んだ。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,「よく話題に上がるけど天気のことを考えたほうがいいな・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,ダイケイマンは少し考えた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,「今日から北西の空を見て、天気がどうなる確率が高いか記録しよう。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"　まぁ・・・イカダはひっくり返ってもいいように作ってるけど、
　海が荒れたらイカダはもうダメだろうな・・・」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
25,"「対岸まで１００ｋｍだから、イカダが壊れても、
　頑張って泳げばたどり着ける可能性はある。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
26,　・・・。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
27,　一番の心配は南に流されてブレンバー海域の方に行ってしまうことだ・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,南側は島も大陸もなく海だけの世界だった。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
29,"「途中、周りは海だけになるからどれだけ流されても気づかないかもしれない。
　船で航海している人が星を見て現在地を確認、
　みたいなシーンを映画で見たことがある。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
30,　あれがどういう仕組みなのかわからないな・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
31,「俺にもわからん・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
32,「・・・。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
33,"　今思いつく対抗策は、短期決戦で一気に１００ｋｍ走破する
　ということだろうか。
　時間がかかるほど違う方向に行ってしまいそうだ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
34,「うーん・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
35,「ホシマン、前さ、氷の塊を落とす魔法、見せてくれたじゃん？」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
36,サンカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
37,「ああ、見せた」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
38,「氷が空中に浮かんでるときにホシマンが移動すると、氷ってどうなるの？」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
39,「・・・なるほど」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
40,ホシマンはバナナを口の中に押し込むと、手を掲げて空中に氷を出現させた。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
41,「サンカクマン、私を持ち上げて移動させてみてくれ」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
42,「えぇ・・・」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
43,サンカクマンはホシマンを抱きかかえて３メートルほど移動させた。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
44,氷の位置は変わっていなかった。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
45,「おぉー」,res\\image\\daikeiman00.png,,,
46,ダイケイマンは両腕で丸のジェスチャーをしていた。,res\\image\\daikeiman00.png,,,
47,「明日、海でも試してみよう」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
48,,,,,
49,"翌朝、ホシマンは海面に浮かびながら氷を出現させた。
潮の流れや自ら泳ぐことでホシマンの位置が変わっても、
氷の位置は変わらなかった。",res\\image\\hoshiman00.png,,,
50,"ホシマンが砂浜のダイケイマンとサンカクマンを見ると
笑いながら両腕で丸のジェスチャーをしていた。",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
