ID,オプション1,オプション2,オプション3,,
1,ホシマンは山頂に向かって歩いていた。,res\\image\\hoshiman00.png,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,"（そういえば、この島に来てから動物にあっていない。
　蛇とか虫とかはたまに見るけど、鹿とか熊とかはいないんだろうか）",res\\image\\hoshiman00.png,,,
3,"山頂に向かう道の途中で集落のようなものを見つけた。
集落は廃墟となっていて人の姿はなかった。",res\\image\\hoshiman00.png,,,
,"代わりにモンスターが２匹いた。
モンスターは半円状でかまぼこのような形状をしていた。",res\\image\\hanen00.png,res\\image\\hanen00.png,,
4,（モンスターを退治してからじゃないと調べられない。戦ってみるか）,res\\image\\hoshiman00.png,,,
5,"ホシマンは魔法で氷の矢を飛ばし、片方のモンスターを貫通した。
もう片方の半円状のモンスターは飛び上がった。",res\\image\\hoshiman00.png,,,
6,（こいつは飛ぶのか）,res\\image\\hoshiman00.png,,,
7,"モンスターは飛行しホシマンの方に突撃してきた。
ほかのモンスターと違い、半円状のモンスターは厚みがなく軽そうであった。",res\\image\\hoshiman00.png,res\\image\\hanen00.png,,
8,"（やはりこいつらも人間を襲うのか。
　全身ゼラチンみたいだし、鳥の爪のような武器も見当たらない。
　何で攻撃するつもりだ？）",res\\image\\hoshiman00.png,,,
9,"モンスターの接近に合わせて、ホシマンは石槍で突いた。
そのとき、ホシマンの右腕と右足に液体がかかった。",res\\image\\hoshiman00.png,res\\image\\hanen00.png,,
10,（これは・・・）,res\\image\\hoshiman00.png,,,
11,ホシマンの右腕と右足から煙が上がった。,res\\image\\hoshiman00.png,,,
12,（あぁ・・・しまった・・・）,res\\image\\hoshiman00.png,,,
13,"皮膚が解け、白い皮下脂肪が覗いていた。
即死するほどではないが死んだほうがマシと思えるような苦痛がホシマンを襲った。",res\\image\\hoshiman00.png,,,
14,"ホシマンは歯を食いしばって石槍で何度もモンスターを刺した。
モンスターは動かなくなった。",res\\image\\hoshiman00.png,res\\image\\hanen00.png,,
15,（ぐ・・・）,res\\image\\hoshiman00.png,,,
16,ホシマンは体を動かすたびに激痛が走った。,res\\image\\hoshiman00.png,,,
,"（廃墟に使えるものがないか見てみたいが・・・
　今モンスターに襲われたら多分おしまいだ・・・一度ワードブレスを飲もう）",res\\image\\hoshiman00.png,,,
17,ホシマンはワードブレスを飲んだ。,res\\image\\hoshiman00.png,,,
18,（この先、弓矢があったほうがいいな・・・。帰ったら依頼しよう）,res\\image\\hoshiman00.png,,,
19,ホシマンは激痛に苦しみながら廃屋を探索した。,res\\image\\hoshiman00.png,,,
20,「これは・・・」,res\\image\\hoshiman00.png,,,
21,"廃屋で島の地図を見つけた。地図に現在地は記されていなかったが、
今日まで島を歩いた感覚でなんとなく予想はついた。
ラデオウ連邦とジーフォーク共和国とこの島が記されている地図も見つけた。",res\\image\\hoshiman00.png,,,
22,"（ここはプロリタン島だったのか。あとでみんなに見せよう。
　一番近いジーフォーク共和国までは１００Ｋｍくらいだ。
　泳いでいくのは無理だな・・・）",res\\image\\hoshiman00.png,,,
23,ホシマンは廃墟に向かった。,res\\image\\hoshiman00.png,,,
