ID,オプション1,オプション2,オプション3,
,"ホシマンは廃墟についた。
ホシマンがダイケイマンのところに行くと子供たちもいた。",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
,ホシマンは少し考えてから、港跡でのことを話し始めた。,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
1,"「とてつもなく太った亡霊とガリガリの人間がいた。
　ガリガリの方はずっと笑っていて不気味な奴だった。
　私と私の両親が＊＊＊＊＊だから殺すといって笑っていた」",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
2,「笑いすぎて立っていられなくなって最後は地面に倒れこんでた」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
3,「ははは、何その人。おもしろ」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
4,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
5,「そいつがネスだ。亡霊もノーブルであってる」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
6,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
7,「会ってみたい！」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
8,　サンカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
9,「・・・」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
10,「ダメだ。絶対にやめろ」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
11,「えー」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png
12,「ブイエスコは、あれから来てないね」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
13,　シカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
14,「そういえばそうだ。ビムとも会ってない」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
15,「今頃どーしてるんだろう」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
16,「食べなくても生活できるらしいからなぁ」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
17,（シーポロポロに行ってみようか）,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
