ID,オプション1,オプション2,オプション3,background
1,"When Star Man looked straight ahead, a cylindrical object was coming toward him.",res\\image\\enchuu00.png,,res\\image\\talkKaigan2.png
2,"(Ah, crap. Is that a monster too?)",res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
3,"Because the monsters usually stood perfectly still, they were hard to spot,
and often he didn't notice them until they started coming his way.",res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
4,(I see that one a lot... It's the one that does a charge attack.),res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
5,"The monster was cylinder‑shaped, about the same size as the cubes.",res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
6,(Should I try fighting it...?),res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
7,Star Man leveled his stone spear.,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
8,"Star Man had spent a week fleeing monsters,
and in particular he had to dodge the shots the disk‑shaped enemy threw,
so his reflexes were honed.",res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
9,<SHAAA!>,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
10,(!!),res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
11,The cylindrical monster charged like a bull.,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
12,Star Man leapt sideways to dodge. Mud and leaves flew.,res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
13,"The cylindrical monster turned toward him and crept closer, inch by inch.",res\\image\\enchuu00.png,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
14,"(I avoided it earlier because it was far away, but if it does that point‑blank...
I probably can't dodge it. If I have the bad luck to be trampled,
that could be instant death...)",,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
15,"Like the others, the cylindrical enemy looked to weigh hundreds of kilograms.",res\\image\\enchuu00.png,,res\\image\\talkKaigan2.png
16,(I'll run.),,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
17,"Star Man trotted away.
Even if you beat a monster, you couldn't eat it and got no materials,
so unless it was a road he used often or one he couldn't avoid, he ran.",,res\\image\\hoshiman00.png,res\\image\\talkKaigan2.png
18,"After a while he reached an open place.
There was an old collapsed house.
It had straw and earthen walls, a type not seen today.",,,res\\image\\talkKaigan2.png
19,Human bones lay scattered inside the house.,,,res\\image\\talkKaigan2.png
20,"(You don't end up with a house containing human bones if people were living normally.
This looks like there was an incident...)",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png
