ID,オプション1,オプション2,オプション3,,
1,「もうちょっとだ・・・」,res\\image\\hoshiman00.png,,
2,"３人はフラフラになりながら目的地の近くまできた。
すでに遠くに海が見えていた。",res\\image\\hoshiman00.png,,,
3,「もー、なんで足なんか怪我したんだよぉ～」,res\\image\\sankakuman00.png,,,
4,サンカクマンが言った。,res\\image\\sankakuman00.png,,,
5,「ごめんて～」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
6,「そう言うなって。そういうこと言うと後で自分に帰ってくるぞ」,res\\image\\sankakuman00.png,res\\image\\hoshiman00.png,,
7,ホシマンが振り返って言った。,res\\image\\sankakuman00.png,res\\image\\hoshiman00.png,,
8,「そうだそうだ。逆に俺を助けておくと、あとでいいことがあるぞ～」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
9,「例えばどんな」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
10,「え～？　え～。・・・」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
11,「ないじゃ～ん」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
