ID,オプション1,オプション2,オプション3,background
1,Some time had passed since the attack by the experimental subjects.,,,res\\image\\talkPrecision.png
2,The four were building a raft in the open area in front of the ruins.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
3,"""The experimental subjects haven't come.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
4,said Square Man.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
5,"""Because it's VSCO day.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
6,Triangle Man chuckled.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
7,"""VSCO?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
8,"""A streamer that's popular with kids.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
9,said Trapezoid Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
10,"""The kids call the ones that attack VSCO,
 and the ones that don't attack Vim.
 I don't really know who they're based on, though.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
11,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
12,"""When kids make up nicknames,
 they tend to pick words you wouldn't like being called.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
13,"When Star Man looked at Triangle Man, he averted his eyes and laughed.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
14,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
15,"Before long they started calling the ones that attacked VSCO,
 and the ones that didn't Vim.",,,res\\image\\talkPrecision.png
16,"Since that day, no VSCO had attacked.
Star Man and the others devoted themselves to building the boat.",,,res\\image\\talkPrecision.png
17,"""It's been a while, but how are your legs?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
18,Star Man asked Trapezoid Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
19,"""Sorry. I think they're done for. Both were complex fractures
 that really needed surgery. They've set wrong.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
20,"In fact they weren't complex fractures but comminuted fractures—
 literally shattered to pieces.",,,res\\image\\talkPrecision.png
21,"Shattered bones don't knit on their own, so they stayed that way.
A false joint—pseudoarthrosis—had formed.",,,res\\image\\talkPrecision.png
22,"Multiple pseudoarthroses had formed in the ankle and heel,
 and he could no longer bear weight.",,,res\\image\\talkPrecision.png
23,"""At first it hurt so much I felt like I'd pass out every second,
 but now, as long as I don't touch it, it doesn't hurt.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
24,"""...That's good to hear.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
