ID,オプション1,オプション2,オプション3,background
1,ホシマンは「シーポロポロ」のあたりに到着した。,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
2,（なんか、人が入ってはいけない雰囲気だな・・・）,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
3,ココナッツの木のところで会った白い人がいた。,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
4,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
5,ホシマンは相手の方を見て様子を伺った。,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
6,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
7,白い人は無表情でこちらを見つめ続けていた。,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
8,「なんのようだ」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
9,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
10,（離れたほうが良いか・・・）,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
11,「私は実験体」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
12,「・・・！」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
13,ホシマンは聞き返した。,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
14,「あのモンスターたちの仲間か」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
15,「はい」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
16,「何をする気だ」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
17,「興味があって見ているだけです」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
18,「なぜ攻撃してこない」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
19,「私は人を襲うようにデザインされていないので」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
20,「・・・？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
21,「・・・？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
22,「そ、そうなのか・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
23,白い人はホシマンを不思議そうに眺めていた。,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
24,「以前、子供に水をあげたか？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
25,「はい」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
26,「ありがとう。代わりに礼を言う。君はここで何をしている？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
27,「何も。私は廃棄物で何もすることがない」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
28,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
29,「ひとまず、君の言うことを信じよう」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
30,「どうも」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
31,「・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
32,「ここはきれいな場所だな・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
33,（きれいな場所、というのが彼にわかるのだろうか）,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
34,「きれいな場所・・・」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
35,実験体は理解できていなそうな雰囲気だった。,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
36,「ここに来ればまた会えるか？」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
37,「はい。タイミングが合えば」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
38,「そうか。わかった」,res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
39,"（子供たちに会わせてあげたいような気がするが、
　ちょっと怖い気もする）",res\\image\\hoshiman00.png,res\\image\\vim00.png,res\\image\\talkKokeniwa.png
40,ホシマンは廃墟に向かった。,res\\image\\hoshiman00.png,,res\\image\\talkKokeniwa.png
41,―,,,res\\image\\black.png
42,実験体は丘の上にやってきた。そこにはもう一人、白い人がいた。,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkKokeniwa2.png
43,「どうだった」,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkKokeniwa2.png
44,「・・・」,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkKokeniwa2.png
45,「害はない」,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkKokeniwa2.png
46,「そうなんだ」,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkKokeniwa2.png
47,「うん」,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkKokeniwa2.png
48,二人はその場で立ったまま動かなかった。,res\\image\\vim00.png,res\\image\\vsco00.png,res\\image\\talkKokeniwa2.png
