ID,オプション1,オプション2,オプション3,,
1,"ある日、サンカクマンとシカクマンは
いつものように二人で食材を採集していた。",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
2,"海岸洞窟周辺にはココナッツの木がなかったが、
バナナと紫色の芋があった。",,,,
3,"ダイケイマンがパッチテストを行い、
毒がないことを確認しこの二つの食材を食べるようになった。",,,,
4,"毒のあるバナナは存在せず、果物全般に毒はほぼないが、
誰もそのことを知らなかった。",,,,
5,"バナナは食用ではなく野生のバナナであったため味がなかった。
それでもバナナは１年中取れるため、
",,,,
6,"何故か旬の終わらないバナナを
ホシマンたちは不思議に思いながら食べ続けた。",,,,
7,"シカクマンは背中のカゴにバナナを入れていたが、
カゴが満タンになっていた。",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
8,「一度、バナナを置いてくるね」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
9,シカクマンはサンカクマンに言った。,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
10,「はーい」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
11,"サンカクマンはバナナの収穫を続けた。
サンカクマンのカゴもバナナで一杯になったため
一度拠点に戻ることにした。",res\\image\\sankakuman00.png,,,
12,―――,,,,
13,"サンカクマンは拠点に戻った。
ダイケイマンはイカダ用の縄づくりをしていた。",res\\image\\sankakuman00.png,,,
14,「シカクマンは？」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
15,サンカクマンはダイケイマンに聞いた。,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
16,「え？」,res\\image\\sankakuman00.png,res\\image\\daikeiman00.png,,
17,―――,,,,
18,シカクマンがいなくなっていた。,,,,
19,"サンカクマンはシカクマンを探し続けたが見つからなかった。
夕方にホシマンが帰ってきた。",,,,
20,「ホシマン、シカクマンがいなくなった。サンカクマンが探している」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,ダイケイマンが言った。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,「・・・！　私も探しに行ってくる。どの辺でいなくなった？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,「湿地帯の方だ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"海岸洞窟のすぐ近くには
ジェンキング湿地帯というエリアがあった。
ホシマンは湿地帯の方に向かって歩いていった。",,,,
25,"ホシマンとサンカクマンはシカクマンを夜まで探した。
夜は捜索が不可能であったため朝が来るのを待った。",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
26,"「明日、朝になったら湿地帯をもう一度探そう。
　それと、ネスとガインが怪しい。
　状況が状況だ・・・。あいつらに会いに行くしかない」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
27,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,「最終的には、私は死んでも生き返られるし、魔法も使える」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
29,（ついに・・・殺人を犯すことになるのかもしれない・・・）,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
30,３人はイカダ作りをやめてシカクマンの捜索を行うことにした。,,,,
