ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"Star Man headed for the rock he had used as a marker to meet up with the children.
The cube monsters were still everywhere, so he carefully avoided them as he moved.
However, he couldn’t find the rock in the forest.",res\\image\\hoshiman00.png,,,
2,(That was stupid... There's no way I could find something like that in the forest...),res\\image\\hoshiman00.png,,,
3,(...!?),res\\image\\hoshiman00.png,,,
4,"A disk-shaped object was closing in on Star Man.
He jumped back to keep his distance.",,res\\image\\enban00.png,,
5,"(I’ve seen that thing before... I thought it was floating, but it actually has thin legs.)",res\\image\\hoshiman00.png,,,
6,<BOOM>,,res\\image\\enban00.png,,
7,(!?),res\\image\\hoshiman00.png,,,
8,Star Man dove to the ground trying to dodge.,res\\image\\hoshiman00.png,,,
9,(It shot something at me...!),res\\image\\hoshiman00.png,,,
10,A black eye-like part launched out and struck Star Man in the upper arm.,,res\\image\\enban00.png,,
11,(...),res\\image\\hoshiman00.png,,,
12,"Looking at his upper arm, he saw it had turned red. Sensing danger, Star Man ran.",res\\image\\hoshiman00.png,,,
13,(That hit with the force of a rock thrown full strength. That could’ve killed me...!),res\\image\\hoshiman00.png,,,
