ID,オプション1,オプション2,オプション3,,
1,ホシマンたちはココナッツの木が生えている海岸に到着した。,,,,
2,「こうやるといい」,res\\image\\hoshiman00.png,,,
3,"ホシマンはココナッツを一つ拾って岩に叩きつけた。
ココナッツから液体がこぼれ、ホシマンはそれを飲んで見せた。",res\\image\\hoshiman00.png,,,
4,"「それと、この中に白い部分がある。
　これは食べられるもののはずだ」",res\\image\\hoshiman00.png,,,
5,「へー」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
6,"それから３人はココナッツの実を食べ続けた。
落ちているココナッツの実は残りわずかとなった。",,,,
7,「木の上にまだまだあるね」,res\\image\\sankakuman00.png,,,
8,サンカクマンが言った。,res\\image\\sankakuman00.png,,,
9,「あれが頭に落ちてきて死ぬ人が沢山いるらしい」,res\\image\\hoshiman00.png,,,
10,ホシマンはココナッツの木の上の方を指さした。,res\\image\\hoshiman00.png,,,
11,「あははは」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
12,（木の上のココナッツをとる方法を考えないとだな）,res\\image\\hoshiman00.png,,,
13,食べながら３人は話した。,,,,
14,"「仮に、木についてるココナッツを取れるようになっても、
　ココナッツだけで水分をとっていたら、いつかはココナッツがなくなるだろう。
　そうなる前に別の手段を探す必要がある」",res\\image\\hoshiman00.png,,,
15,「えー大丈夫だよー」,res\\image\\sankakuman00.png,,,
16,「えーそうかなー」,res\\image\\shikakuman00.png,,,
17,（！）,,,,
18,２０メートルくらいある岩の上に人が座っていた。,res\\image\\hoshiman00.png,,,
19,「・・・」,res\\image\\hoshiman00.png,,,
20,ホシマンは座っている人の方を見て少し様子がおかしいことに気づいた。,res\\image\\hoshiman00.png,,,
21,全身が白く無表情で、微動だにせずこちらを見つめていた。,res\\image\\vim00.png,,,
22,（何だあいつは・・・）,res\\image\\hoshiman00.png,,,
23,ホシマンは数時間前に子供たちに聞いた白い人のことを思い出す。子供たちに小声で聞いた。,res\\image\\hoshiman00.png,,,
24,「君たち。岩の上にひとがいるんだけど見えるかい？」,res\\image\\hoshiman00.png,,,
25,「あ！」,res\\image\\sankakuman00.png,,,
26,「前にあった人と同じ人？」,res\\image\\hoshiman00.png,,,
27,「うん」,res\\image\\sankakuman00.png,,,
28,「おーい！」,res\\image\\sankakuman00.png,,,
29,"サンカクマンが声をかけた。
手を振って白い人に向かって歩いていく。
ホシマンたちも歩いて行った。",,,,
30,岩の下に到着するとサンカクマンは白い人のほうに手を振った。,res\\image\\sankakuman00.png,,,
31,「そこでなにしてるのー！」,res\\image\\sankakuman00.png,,,
32,（どうやってあそこに登ったんだ・・・？）,res\\image\\hoshiman00.png,,,
33,声をかけ続けたが白い人はこちらをずっと見つめて動かなかった。,,,,
34,（モンスターと似た雰囲気を感じる・・・）,res\\image\\hoshiman00.png,,,
35,そして微動だにしないまま５分が経過した。,,,,
36,「よく分からないが気味が悪いから帰ろう・・・」,res\\image\\hoshiman00.png,,,
37,「うん・・・」,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
38,３人は廃墟の方に向かっていった。,,,,
