ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man told his companions what had happened that day.,,,,
2,"""There’s a dangerous man in this area.""",res\\image\\hoshiman00.png,,,
3,"""He attacked me with a knife the moment we met.""",res\\image\\hoshiman00.png,,,
4,"""Why not meet him again and try talking it out?""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
5,Triangle Man said.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
6,"""No... he didn’t seem like the type you could talk to.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
7,Trapezoid Man grimaced.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
8,"""Was he really skinny?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"""No... if anything, he was kind of chubby.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"""Then it was Noble. He was ridiculously fat, right?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"""Hmm...?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,(I don’t remember him being that big. Maybe he lost weight?),res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"""Stay away from Ness and Noble.
They’re basically the reason my legs are like this.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,"""What happened...?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,"""A lot of things...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,"""So they’re at Gip Lighthouse now?
They used to be at the old port—probably the VirtualBecks Port ruins.
Ness is the skinny one, Noble is the fat one.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,"""Then maybe there’s no one at VirtualBecks Port ruins now.
If that’s the case, we might be able to get a boat without building a raft.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,"""I don’t think there were any boats.
We might find materials we can use to build one, though.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,"""I’ll check it out sometime.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,Trapezoid Man thought for a moment.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
25,"""Be careful.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
26,"""Yeah.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
