ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"As Star Man entered Trapezoid Man’s room, someone suddenly shoved him from the side.",res\\image\\hoshiman00.png,,,
2,There stood a man who shouldn't even exist.,,res\\image\\gain00.png,,
3,It was the man from Gip Lighthouse. Star Man felt his whole body tense up. He looked toward Trapezoid Man and the others.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
4,"Trapezoid Man had collapsed, blood streaming down his face.",res\\image\\daikeiman00.png,,,
5,"Blood stained the floor. The children sat crying, their faces swollen.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
6,"""What do you want?!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
7,"""Huh?! What do I want? Don’t mess with me, bastard! I’ll kill you!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
8,The man grabbed Star Man’s horn and tried to crush it with his hand.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
9,"""What are you trying to do? Please, just tell me what's going on!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
10,"""You punks stole my stuff, didn’t you?!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
11,"""Alright... I’ll listen. Just let me go for a second...!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
12,"""Huh?! Shut your damn mouth! You thieves don’t get to talk back!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
13,"Star Man kicked the man, forcing him away.",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
14,"""You little... You’ll pay for that! You’re dead, you hear me?!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
15,"""Stole what?! What do you think we took?!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
16,"""Everything! Everything in here, you idiot!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
17,"""...Everything...?""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
18,"Star Man couldn’t understand what was happening. He looked to Trapezoid Man and the kids, but none of them met his eyes.",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
19,"""You broke into someone else’s house, didn’t you?!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
20,"""...What?""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
21,"""Did you use to live here?""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
22,"""Yeah! I’ve been living here forever, and the moment I stepped out, you trashed the place!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
23,"""...""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
