ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"""I feel like there’s finally a glimmer of hope..."" ",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
2,Star Man and Trapezoid Man talked while eating red fruit and acorns. ,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,"""Was it a trip to Optipl Island?"" ",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,Trapezoid Man asked. ,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"""..."" ",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
6,"""I was working as a temp, and my contract ended at the end of July.
So I thought I’d take some time off for myself.""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
7,"""Spending summer on Optipl Island? That sounds amazing.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,"""...Yeah.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,Star Man looked down and closed his eyes.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"""What were you planning to do on Optipl Island?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"""...It was personal.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"Star Man used to work at a port.
He was responsible for checking cargo, entering data, and loading it onto ships.",,,,
13,"Star Man was suffering from workplace harassment.
There was nothing wrong with how he did his job—
it was just the kind of company culture it was.",,,,
14,"Even if you did nothing wrong,
they had a habit of yelling and picking fights as a routine.",,,,
15,"At the time, Star Man was dating a woman named Rhombus Woman,
whom he met through a dating app.",,,,
16,"The relationship wasn’t all fun;
it also required a lot of patience.",,,,
17,"In his case, that included being stood up, being used like a handyman,
and covering her debts.",,,,
18,"Still, he didn’t break up with her.
It wasn’t all bad, and he believed no one is perfect—
that’s what kept him going.",,,,
19,"But already exhausted from work,
Star Man found that patience increasingly difficult.",,,,
20,"He decided to quit his job at the end of July
and spend a few months unemployed starting in August.
He wanted to spend that time with Rhombus Woman.",,,,
21,"Star Man told her his plan,
and they decided to go on a trip to Optipl Island in August.
They made travel plans, booking a ferry and a hotel.",,,,
22,"Then Rhombus Woman confessed
that she wanted to date another man,
and they broke up.",,,,
23,"Star Man was now a jobless man with no girlfriend.
He wasn’t sure whether to go to Optipl Island anymore.",,,,
24,"He had originally wanted to visit the island anyway,
but in the end, it was the cancellation fee that pushed him to go alone.",,,,
25,"It was hard—but he never considered suicide.
He just wanted to be alone for a while.",,,,
26,"In his emotionally drained state,
the current life-threatening situation actually brought him a strange sense of comfort.",,,,
27,"""Just a solo tour.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,Star Man muttered.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
