ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"As he got closer, he saw that one of the children had an isosceles triangle-shaped head, and the other had a parallelogram-shaped one.",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
2,Are you two also passengers from the ship that sank the day before yesterday?,res\\image\\hoshiman00.png,,,
3,......,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
4,The children nodded.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
5,Do you have any water or food?,res\\image\\hoshiman00.png,,,
6,......,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
7,The children looked at each other.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
8,We haven’t eaten or drunk anything.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
9,The child with the triangle-shaped head answered.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
10,"Here, you can have these acorns. I’m still looking for water myself.",res\\image\\hoshiman00.png,,,
11,The children curiously peered at the acorns and took them from Star Man.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
12,Thank you.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
13,Star Man showed them how to crack open an acorn with a rock.,res\\image\\hoshiman00.png,,,
14,"I'm no expert in survival, but I just ate one like this a little while ago and I was fine—so it should be okay.",res\\image\\hoshiman00.png,,,
15,"The three of them cracked open the acorns, and the children ate.",,,,
16,I'm Star Man. What are your names?,res\\image\\hoshiman00.png,,,
17,I'm Square Man. And this is Triangle Man.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
18,"The child with the parallelogram-shaped head was called Square Man, and the one with the triangle-shaped head was Triangle Man.
As Star Man cracked open acorns and fed them to the kids, the three of them talked.",,,,
19,Do you two know each other?,res\\image\\hoshiman00.png,,,
20,Nope. We just met a little while ago.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
21,"On my way here, I saw some strange creatures—did you see them too?",res\\image\\hoshiman00.png,,,
22,Yeah.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
23,"What was it like for you?
When I saw them, they didn’t move as long as I kept my distance—so I made sure to stay away.",res\\image\\hoshiman00.png,,,
24,Same for us.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
25,"I see.
I’m going to look for water now, but it’s dangerous, so I can’t take you with me.",res\\image\\hoshiman00.png,,,
26,Okay.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
27,"Star Man was nearly out of strength, and if he failed to find water, he would likely die.
And if the children waited here for him to return, they might all go down together.",,,,
28,"If I find water, I’ll come back here—but I don’t know if I’ll make it back.",res\\image\\hoshiman00.png,,,
29,Yeah.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
30,Let’s use this as a marker.,res\\image\\hoshiman00.png,,,
31,Star Man pointed at a large rock at his feet.,,,,
32,Got it.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
33,"The children replied, and Star Man walked off toward the valley.",,,,
