ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,The three of them gathered in Trapezoid Man’s room.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
2,"""…Today, I made a deal with a demon.""",res\\image\\hoshiman00.png,,,
3,"""If I hadn’t, I would’ve died. I had no choice.
The contract brought me back from death—but I’ll die one year from now.""",res\\image\\hoshiman00.png,,,
4,(...),res\\image\\hoshiman00.png,,,
5,(I think I messed that up... How should I have said it...?),res\\image\\hoshiman00.png,,,
6,"""Wh-what...?""",res\\image\\daikeiman00.png,,,
7,Trapezoid Man and the others struggled to grasp what they had just heard.,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
8,"""When I was attacked by a monster and about to die,
a horned man appeared and offered me a contract. I had no choice but to accept.""",res\\image\\hoshiman00.png,,,
9,Star Man conjured fire from his hand.,res\\image\\hoshiman00.png,,,
10,"""As proof of the pact with the demon—I can now use magic.""",res\\image\\hoshiman00.png,,,
11,"""...""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
12,"""I want us to set a goal—escape this island within a year.""",res\\image\\hoshiman00.png,,,
13,"""Wha... no way... that can't be real...""",res\\image\\daikeiman00.png,,,
14,"Trapezoid Man couldn’t wrap his head around it right away,
but the kids, on the other hand, accepted it immediately.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
15,"After that, over a meal of acorns, they talked about the horned man, the ghost, the magic, and the little bottles.",,,,
16,"""Oh, right. I brought part of a monster with me.""",res\\image\\hoshiman00.png,,,
17,Star Man pulled out a leaf and unfolded it. Everyone leaned in to look.,res\\image\\hoshiman00.png,,,
18,"""Smells like a factory... I feel sick just sniffing it...""",res\\image\\daikeiman00.png,,,
19,All three of them grimaced.,res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
20,"""Tomorrow, while I’m out gathering acorns, I’ll also look to see if there are any islands nearby.""",res\\image\\hoshiman00.png,,,
21,"""Got it. I... I'm sorry, but there's nothing I can really do...""",res\\image\\daikeiman00.png,,,
22,"""It's okay. Don't worry about it.
I'll have Triangle Man and Rectangle Man gather coconuts.""",res\\image\\hoshiman00.png,,,
23,"""Okay.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
24,"""Throw rocks at the coconuts, knock them down, and gather them up.""",res\\image\\hoshiman00.png,,,
25,"""Okaaay!""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
26,"""Be very careful, okay?""",res\\image\\hoshiman00.png,,,
27,"""They always hit you on the head, right? Haha!""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
28,"""...""",res\\image\\hoshiman00.png,,,
