ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man and the others arrived at the beach where the coconut trees grew.,,,,
2,"""Here’s how you do it.""",res\\image\\hoshiman00.png,,,
3,"Star Man picked up a coconut and smashed it against a rock.
Liquid spilled out, and he showed them how to drink it.",res\\image\\hoshiman00.png,,,
4,"""Also, there's a white part inside. That should be edible too.""",res\\image\\hoshiman00.png,,,
5,"""Ohh.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
6,"The three of them kept eating coconuts.
Soon, there were only a few left on the ground.",,,,
7,"""There are still lots up in the trees.""",res\\image\\sankakuman00.png,,,
8,Triangle Man said.,res\\image\\sankakuman00.png,,,
9,"""I heard a lot of people die from those falling on their heads.""",res\\image\\hoshiman00.png,,,
10,Star Man pointed toward the top of the coconut tree.,res\\image\\hoshiman00.png,,,
11,"""Ahahaha.""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
12,(We need to figure out how to get the ones up in the trees.),res\\image\\hoshiman00.png,,,
13,They chatted as they ate.,,,,
14,"""Even if we can get the coconuts from the trees,
if we rely only on them for water, we’ll run out eventually.
We need to find another way before that happens.""",res\\image\\hoshiman00.png,,,
15,"""Eh, we’ll be fine!""",res\\image\\sankakuman00.png,,,
16,"""You sure about that?""",res\\image\\shikakuman00.png,,,
17,(!),,,,
18,There was someone sitting on a rock about twenty meters high.,res\\image\\hoshiman00.png,,,
19,"""...""",res\\image\\hoshiman00.png,,,
20,Star Man looked at the seated figure and noticed something was off.,res\\image\\hoshiman00.png,,,
21,"The person was completely white, expressionless, and stared at them without moving an inch.",res\\image\\vim00.png,,,
22,(What the heck is that...?),res\\image\\hoshiman00.png,,,
23,Star Man remembered the white person the children mentioned earlier. He whispered to them.,res\\image\\hoshiman00.png,,,
24,"""Guys, do you see someone up on the rock?""",res\\image\\hoshiman00.png,,,
25,"""Ah!""",res\\image\\sankakuman00.png,,,
26,"""Is that the same person from before?""",res\\image\\hoshiman00.png,,,
27,"""Yeah.""",res\\image\\sankakuman00.png,,,
28,"""Hey!""",res\\image\\sankakuman00.png,,,
29,"Triangle Man called out.
He waved and started walking toward the white figure.
Star Man and the others followed.",,,,
30,"When they reached the base of the rock, Triangle Man waved to the white person.",res\\image\\sankakuman00.png,,,
31,"""What are you doing up there?""",res\\image\\sankakuman00.png,,,
32,"""How did he even get up there...?""",res\\image\\hoshiman00.png,,,
33,"They kept calling out, but the white person just stared silently without moving.",,,,
34,(It gives off the same vibe as those monsters...),res\\image\\hoshiman00.png,,,
35,"Five minutes passed, and it still hadn’t moved an inch.",,,,
36,"""I don’t know what that is, but it’s creepy... Let’s go back.""",res\\image\\hoshiman00.png,,,
37,"""Yeah…""",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
38,The three of them headed back toward the ruin.,,,,
