ID,オプション1,オプション2,オプション3,,
1,"ホシマンがダイケイマンの部屋に入ると
横から何者かに突然突き飛ばされた。",res\\image\\hoshiman00.png,,,
2,存在してはならない男がいた。,,res\\image\\gain00.png,,
3,"ギップ灯台の男だった。
ホシマンは全身の毛が逆立ったのを感じた。
ホシマンはダイケイマンたちの方を見た。",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
4,ダイケイマンは倒れ顔から出血していた。,res\\image\\daikeiman00.png,,,
5,"
床に血痕があった。子供たちは座り込んで顔が腫れ、泣いていた。",res\\image\\sankakuman00.png,res\\image\\shikakuman00.png,,
6,「何の用だ・・・！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
7,"「あぁ？　何の用だァ？　ふざけんじゃねェぞてめェ！
　殺すぞオラァ！」",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
8,男はホシマンの頭の角を掴んで握りつぶそうとしてくる。,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
9,「何がしたいんだ、たのむ、説明をしてくれ・・・！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
10,「オマエらが、勝手に盗んだんだろ！　人のモンを！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
11,「わかった・・・話を聞くから、一度手を放してくれ・・・！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
12,"「あぁ？　うるせェなぁ！
　ぬすっとがなめた口きいてんじゃねーよ！」",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
13,ホシマンは男を蹴って突き飛ばした。,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
14,"「あぁ？　てめぇやりやがったなぁ？
　てめぇ何してくれてんだよ！　ブチ殺すぞ！」",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
15,「盗んだって、一体何を盗んだって言ってるんだ！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
16,「ここにあるもの全部だバカが！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
