ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"As Star Man walked, tropical‑looking trees stood there,
laden with red fruit.",,,,
2,"(I've seen this plant.
More like a big grass than a tree...
The fruit has a fruity smell...)",res\\image\\hoshiman00.png,,,
3,Star Man took a small bite.,res\\image\\hoshiman00.png,,,
4,(I can't tell... An unknown taste...),res\\image\\hoshiman00.png,,,
5,"Star Man put the fruit in the bag.
He decided to head back to the ruins for today.",res\\image\\hoshiman00.png,,,
6,(Ah... this is bad... I messed up.),res\\image\\hoshiman00.png,,,
7,"While walking, a violent stomach pain struck him,
and he began to vomit.
Pain drenched his face in clammy sweat.",res\\image\\hoshiman00.png,,,
8,(I'm... going to die...),res\\image\\hoshiman00.png,,,
9,"He noticed he had no strength in his fingers or legs.
His hands trembled; stabbing pain shot through his eyes and head.
At last, Star Man couldn't stand, tried to lie down, and collapsed.",res\\image\\hoshiman00.png,,,
10,"(Should I drink WordBress...?
I just died yesterday... Use the last one already?
I don't want that...)",res\\image\\hoshiman00.png,,,
