ID,オプション1,オプション2,オプション3,,
1,"ホシマンは意識もうろうとしながら水を求めて歩いた。
幸い、先日の台風のおかげで岩のくぼみに雨水が溜まっていた。",,,
2,（大丈夫か・・・これ・・・）,res\\image\\hoshiman00.png,,,
3,ホシマンは水道水やペットボトル飲料のような処理された水しか飲んだことがなかった。,,,,
4,スマホは電源が入らなくなっていた。ホシマンは周りを見渡してみた。,res\\image\\hoshiman00.png,,,
5,（・・・）,res\\image\\hoshiman00.png,,,
6,"ホシマンから１００メートルくらい離れたところに空飛ぶ円盤が見えた。
円盤は地面から１メートルくらいの高さで移動していた。",,res\\image\\enban00.png,,
7,（遠くてよく見えないな・・・）,res\\image\\hoshiman00.png,,,
8,ホシマンは飛行物体が気になったが、それより今は目の前の水が最優先だった。,res\\image\\hoshiman00.png,,,
9,（煮沸とかする道具ないし、もう限界だ）,res\\image\\hoshiman00.png,,,
10,ホシマンは雨水に鼻を近づけた。,res\\image\\hoshiman00.png,,,
11,（う・・・川の匂いがする・・・）,res\\image\\hoshiman00.png,,,
12,ホシマンは顔を水につけ直接飲んだ。,,,,
13,（変な味がする気がする・・・。けど、それがいいのか悪いのかわからない・・・）,res\\image\\hoshiman00.png,,,
14,飲んだ直後はそれほどでなかったが、時間が経つと塩辛さがやってきた。,,,,
15,（うぐ・・・しょっぱい・・・これは逆効果なのでは・・・）,res\\image\\hoshiman00.png,,,
