ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man kept walking and finally found a river.,,,,
2,(Ugh...),res\\image\\hoshiman00.png,,,
3,"The river's flow had stopped, and it was a muddy ochre color. Near it stood a concrete ruin.",,,,
4,"Star Man was curious about the ruin, but first he walked toward the river.",,,,
5,"(It’s really murky and smells awful... If I drink this, it’ll probably dehydrate me even more... What do I do?)",res\\image\\hoshiman00.png,,,
6,Star Man looked toward the mountains.,,,,
7,"(If I go upstream, the river might be clear.)",res\\image\\hoshiman00.png,,,
8,The mountains stretched far into the distance.,,,,
9,"(It’s so far away... There has to be another way.
Even if I found a clean stream near the summit, getting water to the kids would be nearly impossible.)",res\\image\\hoshiman00.png,,,
10,Star Man turned his gaze to the ruin.,res\\image\\hoshiman00.png,,,
11,(Let’s search inside the ruin.),res\\image\\hoshiman00.png,,,
12,"The ruin turned out to be a village office. He searched every corner, but the building was so old there was no food left.",,,,
13,"""Hey!""",,,,
14,"Just as Star Man was about to leave the ruin, he heard a voice from somewhere.",,,,
15,"""Heeelp...""",,,,
16,"Cautiously following the voice, Star Man peeked into its direction and found a man with a trapezoid-shaped head lying down.",,res\\image\\daikeiman00.png,,
17,"""Help me...""",,res\\image\\daikeiman00.png,,
18,The man looked like he was on the verge of death. Star Man dragged his tired body over to him.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,"""Are you okay?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,"""Something to eat...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,The man was covered in bruises and bleeding. Both of his legs were about three times their normal size.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,"""My legs are broken... I fell from a high place... I was pushed...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,Even speaking seemed painful for him.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"""I... I don’t have anything right now... sorry.
But I know where there’s an acorn tree. I can bring some.
Can you hold out for a few hours?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
25,"""Yeah...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
26,"""Hah... hah... before that... sorry... do you have any water?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
27,"""There are coconut trees near the sea. Ugh... those can be used for both moisture and food...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,"""Got it...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
29,"""Please...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
30,Star Man staggered out of the ruin.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
