ID,オプション1,オプション2,オプション3,,
1,歩いていると南国風の木が生えており、赤い果実が沢山ついていた。,,,,
2,"（この木は見たことがある。
　木というかでかい草というか・・・。
　実からは果物っぽい匂いがする・・・）",res\\image\\hoshiman00.png,,,
3,ホシマンは少しかじってみた。,res\\image\\hoshiman00.png,,,
4,（よくわからない・・・。未知の味だ・・・）,res\\image\\hoshiman00.png,,,
5,"ホシマンは袋に実を入れた。
そして今日はこれで廃墟に戻ることにした。",res\\image\\hoshiman00.png,,,
6,（あぁ・・・やばい・・・失敗した）,res\\image\\hoshiman00.png,,,
7,"歩いている途中、猛烈な腹痛に襲われ、嘔吐し始めた。
苦痛により脂汗が顔面を覆う。",res\\image\\hoshiman00.png,,,
8,（死・・・死ぬ・・・）,res\\image\\hoshiman00.png,,,
9,"指や足に力が入らないことに気づいた。
手が震え、目や頭に激痛が走る。
ついにホシマンは立っていることができなくなり横になろうとし、そのまま倒れた。",res\\image\\hoshiman00.png,,,
10,"（ワードブレスを飲むか・・・？
　昨日死んだばかりなのに・・・もう最後の一本を使うのか？
　それはいやだ・・・）",res\\image\\hoshiman00.png,,,
