ID,オプション1,オプション2,オプション3,background
1,ある日の夜、３人は焚火の前に座ってバナナとパパイヤを食べていた。,,,res\\image\\talkKaigan3.png
2,バナナを食べながらホシマンは言った。,res\\image\\hoshiman00.png,,res\\image\\talkKaigan3.png
3,"「面倒くさがったり、怖がって、戻ってこない、
　というのは絶対にしない。誓わせてくれ」",res\\image\\hoshiman00.png,,res\\image\\talkKaigan3.png
4,「あぁ信じる。日頃の行いがいいからな」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
5,「まってるよー」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan3.png
6,"「ありがとう。骨になっても戻って来てみせる。
　政府に協力を要請したら余計に戻ってこれる確率が減る気がする。
　どうにかしてモーターボートみたいのを手に入れてこっちに来るよ」",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan3.png
7,「最悪、船を盗んで、犯罪者になってでも必ず来る」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan3.png
8,「お、おう・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
9,"「島に戻ってくるときだけど、島に近づいたら契約が復活して
　船を操縦しながら死んでしまうかもしれない。
　その場合、何とかして船を捕まえてくれ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
10,"「もし、まぁ・・・ないほうがいいけど、
　その場合は、無人状態の船を捕まえないといけないな」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
11,「そうだ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
12,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
13,"「それと、もし、事件に巻き込まれたとかで、
　この場所が難しかったらシンクハット海岸に来てくれ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
14,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
15,ダイケイマンは考え込んだ。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
16,「何か見落としてることはないかな」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
17,「「・・・」」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
18,３人は食べるのを一度止め考え込んだ。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
19,"「対岸まで１００ｋｍだから、イカダが壊れても、
　頑張って泳げばたどり着ける可能性はある」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
20,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
21,「一番の心配は南に流されてブレンバー海域の方に行ってしまうことだ・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
22,南側は島も大陸もなく海だけの世界だった。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
23,"「途中、周りは海だけになるからどれだけ流されても気づかないかもしれない。
　船で航海している人が星を見て現在地を確認、
　みたいなシーンを映画で見たことがある」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
24,「あれがどういう仕組みなのかわからないな・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
25,「俺にもわからん・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
26,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
27,"「今思いつく対抗策は、短期決戦で一気に１００ｋｍ走破する
　ということだろうか。
　時間がかかるほど違う方向に行ってしまいそうだ」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
28,「うーん・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan3.png
