ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man told Trapezoid Man and the others about the experimental subject he met today.,res\\image\\hoshiman00.png,,,
2,"""Next time, I want to give him a coconut to say thanks...""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
3,Rectangle Man said.,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
4,"""Hmm...""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
5,(Maybe it’d be okay to bring him here...),res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
6,"<Step, step, step, step...>",,,,
7,Footsteps came from outside.,,,,
8,"Star Man, Triangle Man, and Rectangle Man turned toward the entrance of the ruins.
The experimental subject they had met earlier that day was standing there.",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
9,(…!),res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,,
10,The experimental subject was holding a knife carved from stone.,res\\image\\vsco00.png,,,
11,"Though he said nothing, his expression had changed—he was ready to fight.
He gripped the knife in both hands and charged forward.",res\\image\\vsco00.png,,,
12,(Damn... he tricked us...!),res\\image\\hoshiman00.png,,,
13,"Fortunately, the experimental subject was only about 120 cm tall—
small enough that they might be able to handle him.",res\\image\\vsco00.png,,,
14,<Thud!>,res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
15,"Star Man kicked out to create distance.
The subject was knocked backward.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
16,"""Bring me a weapon!""",res\\image\\hoshiman00.png,,,
17,Star Man shouted to the kids.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
18,"""...""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
19,Triangle Man and the others froze in place.,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
20,"""Ah.""",res\\image\\shikakuman00.png,,,
21,Rectangle Man pointed to the entrance of the ruins.,res\\image\\shikakuman00.png,,,
22,(!?),res\\image\\hoshiman00.png,,,
23,Another experimental subject was standing at the entrance.,res\\image\\vim00.png,,,
24,The one on the ground was trying to get up.,,res\\image\\vsco00.png,,
25,"Star Man wanted to watch the new arrival,
but he had to deal with the one holding the knife in front of him.",res\\image\\hoshiman00.png,,,
26,"""Drop the knife.""",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
27,"The subject didn’t stop. He kept coming, knife in hand.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
28,"Star Man kicked again,
but the subject caught his leg.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
29,"The subject raised his arm, ready to stab Star Man’s leg with the knife.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
30,"""!!""",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
31,"Star Man reflexively pulled his leg back.
The knife grazed him.
It was handmade from stone, not metal,
so the wound wasn’t deep—but blood trickled from his ankle.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
32,Star Man grabbed the subject’s arm and tried to wrestle the knife away.,res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
33,"""Grr...""",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
34,"The subject clung to the knife, refusing to let go.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
35,Star Man lifted the subject and slammed him into the ground.,res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
36,<Bang!>,,,,
37,"The subject took a hard hit to the back.
But he still held the knife.",res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
38,Star Man quickly grabbed the knife and aimed it at the subject.,res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
39,(…!),res\\image\\hoshiman00.png,res\\image\\vsco00.png,,
40,"Realizing he was pointing a blade at a person,
Star Man snapped out of it and threw the knife toward the children.",res\\image\\hoshiman00.png,,,
41,"""Hold onto this!""",res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
42,The children rushed to pick it up.,res\\image\\shikakuman00.png,res\\image\\sankakuman00.png,,
43,The other subject at the entrance shouted.,res\\image\\vim00.png,,,
44,"""Wait!""",res\\image\\vim00.png,,,
45,(…),res\\image\\hoshiman00.png,,,
46,Star Man took a step back.,res\\image\\hoshiman00.png,,,
47,The second subject walked over and embraced the first.,res\\image\\vim00.png,res\\image\\vsco00.png,,
48,"""That’s enough, okay? Let’s go home.""",res\\image\\vim00.png,res\\image\\vsco00.png,,
49,"""...""",res\\image\\vim00.png,res\\image\\vsco00.png,,
50,The two leaned on each other and started to walk away.,res\\image\\vim00.png,res\\image\\vsco00.png,,
51,"""Wait, explain what’s going on.""",res\\image\\hoshiman00.png,,,
52,"""...""",res\\image\\vim00.png,res\\image\\vsco00.png,,
53,"""I wasn’t designed to harm people,
but he was.""",res\\image\\vim00.png,res\\image\\vsco00.png,,
54,"""Wha... Wait, I can’t just let you go like this.
We’ve got wounded people, and kids.
Now he knows where we live.""",res\\image\\hoshiman00.png,,,
55,"The subject looked away, then down.",res\\image\\vim00.png,res\\image\\vsco00.png,,
56,"""...""",res\\image\\vim00.png,res\\image\\vsco00.png,,
57,The subject picked up the other one and ran off.,res\\image\\vim00.png,res\\image\\vsco00.png,,
58,"""...""",res\\image\\hoshiman00.png,,,
59,"""Um... what just happened out there...?""",res\\image\\daikeiman00.png,,,
60,"Trapezoid Man muttered.
He couldn’t see what was going on from his position.",res\\image\\daikeiman00.png,,,
61,"""...""",res\\image\\hoshiman00.png,,,
62,"""I can’t... my hands are shaking... I can’t finish him.""",res\\image\\hoshiman00.png,,,
63,"""...""",res\\image\\hoshiman00.png,,,
64,"""Maybe we should move somewhere else.""",res\\image\\hoshiman00.png,,,
65,"""Leave me behind. Don’t worry about me.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
66,Trapezoid Man had broken both legs and still couldn’t walk.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
