ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man came to the See Poroporo moss garden to meet Vim.,res\\image\\hoshiman00.png,,,
2,"The moss garden wasn’t very large, so he was able to explore the whole area with just a short walk.",res\\image\\hoshiman00.png,,,
3,(There he is.),res\\image\\hoshiman00.png,,,
4,"Vim’s entire body was white, which made him stand out in the forest—he was easy to spot.",res\\image\\hoshiman00.png,,,
5,"Star Man walked toward Vim.
Vim stood completely still, staring at him.",res\\image\\hoshiman00.png,,,
6,"""Hey... it's been a while.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
7,"""It has been.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
8,"""I came to see you because I wanted to know how the experimental subject who was with you is doing.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
9,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
10,"""He’s dead.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
11,"""...!""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
12,"""W-what...?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
13,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
14,"""Is that true?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
15,"""Yes.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
16,"""Why?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
17,"""He was killed.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
18,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
19,"""By who?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
20,"""The man at Gip Lighthouse.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
21,"""...!""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
22,The man at Gip Lighthouse—Star Man had encountered him once before as well.,res\\image\\hoshiman00.png,res\\image\\vim00.png,,
23,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
24,"""I know him too.
The moment our eyes met, he tried to kill me with a blade.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
25,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
26,"""I'm sorry about your friend...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
27,"""Thank you.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
28,"""I’ll let the others know.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
29,"""Please do.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
30,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
31,"""Do you have a name?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
32,"""I don’t.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
33,"""We’ve been calling you Vim.
It’s the name of a character the kids really like.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
34,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
35,Star Man returned to Precision.,res\\image\\hoshiman00.png,,,
