ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"""I gathered four coconuts.
That should be enough to get by until I bring the kids here.""",res\\image\\hoshiman00.png,,,
2,"""Th-thanks... You saved me.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,"The man tried to smile, but his face was constantly strained in pain.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,(He looks like he's in pain...),res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"""Those things attacked me, and I ended up tumbling down a slope. You saw them, right? Those weird things.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"""Yeah. Those... monsters crawling all over outside—what are they?
I've never even heard of creatures like that.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,"""I don't know either... But those things—did you notice how densely packed they are?
I've been thinking... there's something weird about it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,"""...?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"""Didn’t we learn in school once about how much grassland it takes to support a single zebra?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,"""Maybe we did...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,"""If animals that big were packed that densely, this island would’ve turned into a desert and they’d have gone extinct.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"""Maybe they're not creatures of this world. Have you seen them eat anything?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"(They had the smell and freshness of life, but the way they moved was like radio-controlled toys.)",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
16,Star Man remembered the children.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,"""Actually, there are two kids waiting in the mountains... Can I bring them here?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,"""Eh... that’s...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,"""They can stay in a room farther from here. Please.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,"""Uh... well... in that case... I guess it’s fine.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
21,"""Alright, I’m heading out. My name’s Star Man.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,"""O-oh. I’m Trapezoid Man. There’s something else on this island besides those monsters. Be careful.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,"""Yeah. Thanks.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
24,"After finishing his meal, Star Man set off toward the children.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
