ID,オプション1,オプション2,オプション3,background
1,"「一度止まってくれ。またリッポウタイだ」
ホシマンは子どもたちに言った。",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png
2,"担架を運んでいる都合でモンスターを避けて進むことができない場面があった。
ホシマンたちは担架を地面に置いた。",res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png
3,"リッポウタイは静止していた。
顔がないのでこちらに気づいているのかわからない。",,res\\image\\rippoutai00.png,res\\image\\talkKaigan2.png
4,"ホシマンはリッポウタイの頭上に向けて手を掲げた。
リッポウタイの頭上に巨大な氷の塊が出現し落ちた。
リッポウタイは半壊し氷の塊は霧となって消えた。",res\\image\\hoshiman00.png,res\\image\\rippoutai00.png,res\\image\\talkKaigan2.png
5,"リッポウタイは静止したままであった。
ホシマンは休憩を挟んでもう一度同じ攻撃を行った。
リッポウタイはバラバラになった。",res\\image\\hoshiman00.png,res\\image\\rippoutai00.png,res\\image\\talkKaigan2.png
6,「ブラボー！」,res\\image\\daikeiman00.png,,res\\image\\talkKaigan2.png
7,「ブラボー！」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan2.png
8,ダイケイマンがそう言って拍手するとサンカクマンも真似した。,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,res\\image\\talkKaigan2.png
9,「・・・」,res\\image\\shikakuman00.png,,res\\image\\talkKaigan2.png
10,シカクマンは目を伏せていた。,res\\image\\shikakuman00.png,,res\\image\\talkKaigan2.png
11,「少し休憩させてくれ」,res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png
12,ホシマンは座り込んだ。,res\\image\\hoshiman00.png,,res\\image\\talkKaigan2.png
13,"森の中に人間が通るための道というのは用意されておらず
通れる道を通るしかなかった。
ホシマンはモンスターと遭遇するたびに、担架をおろし撃退した。",,,res\\image\\talkKaigan2.png
14,―――,,,res\\image\\talkKaigan2.png
15,やがて朝になった。,,,res\\image\\talkKaigan2.png
16,ダイケイマンがホシマンの背中を叩いた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan2.png
17,「一度休みなよ。俺が見張ってるから」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan2.png
18,「あぁ・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan2.png
19,"　ホシマンたちは力尽き、一度休むことにした。
ダイケイマンが見張りをして、ほかの３人は寝た。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan2.png
20,―――,,,res\\image\\talkKaigan2.png
21,翌日の昼、３人は目を覚ました。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan2.png
22,「「「・・・」」」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan2.png
23,"睡眠不足と疲労で誰も話さなかった。
夜逃げするときに持ち出したドングリを分け合って食べ、４人は出発した。",,,res\\image\\talkKaigan2.png
