ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,"""Hold up. It's that Cube again,"" Star Man said to the children.",res\\image\\hoshiman00.png,,,
2,"Because they were carrying a stretcher, there were moments when they couldn’t avoid the monsters. Star Man and the others gently set the stretcher down on the ground.",res\\image\\hoshiman00.png,,,
3,"The Cube stood motionless. Without a face, it was impossible to tell if it had noticed them.",,res\\image\\rippoutai00.png,,
4,"Star Man raised his hand toward the Cube. A massive block of ice formed above it and came crashing down. The Cube partially shattered, and the ice melted into mist.",res\\image\\hoshiman00.png,res\\image\\rippoutai00.png,,
5,"The Cube remained motionless. After taking a short break, Star Man repeated the same attack. The Cube was torn to pieces.",res\\image\\hoshiman00.png,res\\image\\rippoutai00.png,,
6,"""Bravo!""",res\\image\\daikeiman00.png,,,
7,"""Bravo!""",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
8,"Trapezoid Man clapped as he said it, and Triangle Man followed his lead.",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
9,"""...""",res\\image\\shikakuman00.png,,,
10,Rectangle Man cast his eyes downward.,res\\image\\shikakuman00.png,,,
11,"""Let me rest for a bit.""",res\\image\\hoshiman00.png,,,
12,Star Man sat down.,res\\image\\hoshiman00.png,,,
13,"There were no paths through the forest made for people—only whatever they could manage to squeeze through. Each time they ran into a monster, Star Man had to set the stretcher down and deal with it.",,,,
14,———,,,,
15,"Eventually, morning came.",,,,
16,Trapezoid Man patted Star Man on the back.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
17,"""Take a break. I’ll keep watch.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
18,"""Yeah...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
19,"Exhausted, they decided to rest. Trapezoid Man stood guard while the other three slept.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
20,———,,,,
21,"By the next afternoon, the three of them had woken up.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
22,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
23,"No one spoke, worn out from lack of sleep and fatigue. They shared the acorns they had brought during their escape and set out again.",,,,
