ID,オプション1,オプション2,オプション3,background,BGM
1,ホシマンは今日出会った実験体のことをダイケイマンたちに話した。,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,res\\sound\\dying.wav
2,「今度お礼にココナッツあげたい・・・」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
3,シカクマンが言った。,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
4,「うーん・・・」,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
5,（ここに連れてきても問題ないのかもしれない）,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
6,＜ザッザッザッザッ＞,,,res\\image\\talkPrecision.png,
7,外から足音がした。,,,res\\image\\talkPrecision.png,
8,"ホシマンとサンカクマンとシカクマンは廃墟の入り口の方を見た。
昼に会った実験体が立っていた。",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
9,（・・・！）,res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png,
10,実験体の手には石を削って作られたナイフがあった。,res\\image\\vsco00.png,,res\\image\\talkPrecision.png,
11,"実験体は何も言わなかったが戦う
顔つきになりナイフを両手に持って走ってきた。",res\\image\\vsco00.png,,res\\image\\talkPrecision.png,
12,（くそ・・・騙されたんだ・・・！）,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
13,"幸い実験体は１２０ｃｍ程度しかなく、
小柄であったため何とかなりそうだった。",res\\image\\vsco00.png,,res\\image\\talkPrecision.png,
14,＜ドサ＞,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
15,"ホシマンは足で相手と距離を離すように前蹴りをした。
実験体は後方に飛ばされた。",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
16,「何か武器をもってきてくれ！」,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
17,ホシマンはサンカクマンたちに言った。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
18,「・・・」,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
19,サンカクマンたちは固まってしまい動けずにいた。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,res\\image\\talkPrecision.png,
20,「あ」,res\\image\\shikakuman00.png,,res\\image\\talkPrecision.png,
21,シカクマンが廃墟の入り口を指さした。,res\\image\\shikakuman00.png,,res\\image\\talkPrecision.png,
22,（！？）,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
23,"廃墟の入り口にはもう一人実験体がいた。
",res\\image\\vim00.png,,res\\image\\talkPrecision.png,
24,地面に這いつくばっている方の実験体は起き上がろうとしていた。,,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
25,"ホシマンは、入り口にいるもう一人の実験体が気になるが
目の前のナイフを持っている実験体に対処しなければならなかった。",res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png,
26,「ナイフを捨てろ」,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
27,実験体は止まることなくナイフを持ったまま向かってきた。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
28,ホシマンはもう一度前蹴りをしたが実験体に足をつかまれてしまった。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
29,実験体はナイフでホシマンの足を刺そうとして腕を振り上げた。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
30,「！！」,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
31,"ホシマンは反射的に足を引っ込め、ナイフはホシマンの足をかすった。
金属製ではなく石を削って作った手作りのナイフであったため、
それほどの傷にはならなかった。ホシマンの足首から血が滴る。",res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
32,ホシマンは実験体の腕をつかみナイフをもぎ取ろうとした。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
33,「くっ・・・」,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
34,実験体はナイフを取られまいと握りしめていた。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
35,ホシマンは実験体を掴み、持ち上げて地面にたたきつけた。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
36,＜バン＞,,,res\\image\\talkPrecision.png,
37,実験体は背中を地面に強打した。しかし、ナイフは持ったままだった。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
38,ホシマンは素早くナイフを取り上げ実験体に向けた。,res\\image\\hoshiman00.png,res\\image\\vsco00.png,res\\image\\talkPrecision.png,
