ID,オプション1,オプション2,オプション3,,
1,夕方に４人はダイレクトネクス海岸洞窟に到着した。,,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,ホシマンはたいまつを作り洞窟の中を調べた。,res\\image\\hoshiman00.png,,,
3,"（入口は３ヶ所ある。
　海水が入ってこないエリアはあるがゴミだらけだ。
　これを片付ければ生活できるだろう）",res\\image\\hoshiman00.png,,,
4,ホシマンは洞窟から出てきた。,res\\image\\hoshiman00.png,,,
5,"「人が生活できそうな形状だ。
　ただし、ゴミが沢山あるから掃除する必要がある。
　今日はもういい。明日からやろう」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"海岸洞窟より少し内陸に行くと砂浜や樹木があった。
流木を集め焚き火を作ると、シカクマンは寝た。
４人はそこで休んだ。",,,,
7,"ホシマンが海岸を歩いていると黒い貝が群生している岩があった。
ホシマンは、石斧で一つ剥がしダイケイマンに見せに行った。",res\\image\\hoshiman00.png,,,
8,「これ・・・ムール貝だろうか？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
9,"「そうみえるけど、わからない・・・。
　というか黒い貝でムール貝以外の貝を俺、知らないし」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
10,「私もだ・・・。焼いてから、米粒大のかけらだけ食べてみよう」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
11,「その役は俺がやるよ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,ホシマンは焚き火の横に石を置き石の上に貝を置いて焼いた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,しばらくして貝に火が通った。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
15,"ダイケイマンは貝の身を噛んでカケラだけ食べた。
１時間後に問題がなかったので今度は一粒食べた。",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
16,「くぅ～うますぎる！」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
17,「毒じゃないといいけどね～」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
18,「うっ　は、腹がぁ～」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
19,「あははは」,res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
20,"ホシマンは一人、洞窟の掃除をしていた。
ゴミの中にトランプの箱があった。
中を見るとカードは全て揃っているようだった。",res\\image\\hoshiman00.png,,,
21,"ホシマンが焚き火の方を見るとシカクマンは寝ていて、
サンカクマンとダイケイマンは木の枝で焚き火をつついて談笑していた。",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
22,「トランプがあった」,res\\image\\hoshiman00.png,,,
23,ホシマンは焚き火の前に座り二人に渡した。,res\\image\\hoshiman00.png,res\\image\\sankakuman00.png,,
24,ーーー,,,,
25,１時間後。,,,,
26,"シカクマンは眠りから覚め、
ダイケイマンがサンカクマンとシカクマンにポーカーを教えていた。",res\\image\\daikeiman00.png,res\\image\\sankakuman00.png,,
27,「フラッシュとストレートってどっちが強いんだっけ・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
28,「フラッシュだったと思う」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
29,「そうだ、ホシマン。さっきの貝だけどなんともないよ」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
30,ダイケイマンは親指を立てた。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
31,「わかった。とってくる」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
32,"ホシマンは石斧と袋を抱えて黒い貝の群生地に向かった。
その後、４人は黒い貝を焼いて食べながらポーカーをして過ごした。",,,,
