ID,Option 1,オプション2,オプション3,,
1,Star Man arrived at the ruins of Virtualbex Port in the middle of the night.,res\\image\\hoshiman00.png,,,
2,(Should I wait until morning before seeing Nes...? It's not yet certain they did anything.),res\\image\\hoshiman00.png,,,
3,(But...),res\\image\\hoshiman00.png,,,
4,(If I weigh 'embarrassing myself by visiting someone in the middle of the night' against 'Square Man's safety'... the answer is obvious.),res\\image\\hoshiman00.png,,,
5,Star Man looked around.,res\\image\\hoshiman00.png,,,
6,"(I don't know where Nes is.
I'll search for Nes while also looking for clues about Square Man.)",res\\image\\hoshiman00.png,,,
7,"There were five buildings—houses and warehouses.
Star Man checked each one of them but found neither Nes nor Square Man.",res\\image\\hoshiman00.png,,,
8,(Where could they have gone...? I'll look again when morning comes.),res\\image\\hoshiman00.png,,,
9,Star Man slept in the shadows of Virtualbex.,res\\image\\hoshiman00.png,,,
10,———,,,,
11,"The next morning, Star Man searched Virtualbex once more.",res\\image\\hoshiman00.png,,,
12,<Knock>,,,,
13,"<Rustle, rustle>",,,,
14,"(A faint noise came from that house.
Is Nes hiding in there?
Could be a monster. Would they come out if I just greeted them normally?)",res\\image\\hoshiman00.png,,,
15,"(...No, that's definitely not going to work.)",res\\image\\hoshiman00.png,,,
16,Star Man raised his stone axe and circled the hut.,res\\image\\hoshiman00.png,,,
17,(A wet squelching sound is coming from inside.),res\\image\\hoshiman00.png,,,
18,"""Is anyone there?""",res\\image\\hoshiman00.png,,,
19,"When Star Man called out, the squelching stopped.",res\\image\\hoshiman00.png,,,
20,(The sound stopped. Someone is in there.),res\\image\\hoshiman00.png,,,
21,Star Man came to the hut's entrance.,res\\image\\hoshiman00.png,,,
22,"""Is anyone there? Please answer.""",res\\image\\hoshiman00.png,,,
23,(No response...),res\\image\\hoshiman00.png,,,
24,Star Man entered the hut.,res\\image\\hoshiman00.png,,,
25,"""Ugh... guh.""",res\\image\\hoshiman00.png,,,
26,A foul stench filled the hut. The floor was buried under garbage.,res\\image\\hoshiman00.png,,,
27,"The trash was free of dust—apparently freshly dumped.
Star Man walked over the heap.",res\\image\\hoshiman00.png,,,
28,"Searching inside, he found a person sitting motionless.",res\\image\\hoshiman00.png,,,
29,It was Nes.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
30,At Nes's feet were bananas and banana peels.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
31,"""Hey there...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
32,Star Man spoke.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
33,"""...Ah... yes...?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
34,(...Huh?),res\\image\\hoshiman00.png,res\\image\\nes00.png,,
35,Nes felt different from last time.,res\\image\\hoshiman00.png,res\\image\\nes00.png,,
36,"""Sorry for barging in. I have something to ask.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
37,"""Ah, okay. What is it?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
38,(We can communicate?),res\\image\\hoshiman00.png,res\\image\\nes00.png,,
39,"""A boy named Square Man is missing, and I'm searching for him.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
40,"""U‑uh, okay.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
41,"""Do you know anything?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
42,"""No, I... I'm not sure.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
43,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
44,"""Anything at all would help. If you know, please tell me.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
45,"""I just live here gathering supplies, that's all.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
46,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
47,"""I see. I'd like to inspect the other huts as well, just in case.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
48,"""Well... I’d rather you didn’t...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
49,"""Is there some problem?""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
50,"""N‑no, not exactly... Fine. Go ahead and look.""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
51,"""...""",res\\image\\hoshiman00.png,res\\image\\nes00.png,,
52,Star Man left the hut.,res\\image\\hoshiman00.png,,,
53,"He searched every other building, but they were dusty ruins with no sign of human activity.",res\\image\\hoshiman00.png,,,
54,"""...Excuse me for the intrusion.""",res\\image\\hoshiman00.png,,,
55,"Star Man said to Nes, then left Virtualbex and returned to base.",res\\image\\hoshiman00.png,,,
