ID,オプション1,オプション2,オプション3,Unnamed: 4,Unnamed: 5
1,Star Man arrived near the area known as “Shii Poroporo.”,res\\image\\hoshiman00.png,,,
2,"As he approached Shii Poroporo, a mist began to roll in.
While walking cautiously through it, he saw something glowing in the distance.",res\\image\\hoshiman00.png,,,
3,(Fireflies...? I think this might be my first time seeing one.),res\\image\\hoshiman00.png,,,
4,"Star Man walked toward the fireflies.
A clear river flowed with a gentle sound, and the entire area was blanketed in green moss.",res\\image\\hoshiman00.png,,,
5,(This place… it feels like somewhere humans aren’t meant to enter...),res\\image\\hoshiman00.png,,,
6,"Eventually, Star Man noticed someone following him from behind.
It was the same white figure he had seen before by the coconut trees.",res\\image\\hoshiman00.png,,,
7,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
8,Star Man turned to observe the figure.,res\\image\\hoshiman00.png,res\\image\\vim00.png,,
9,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
10,The white figure stared at him expressionlessly.,res\\image\\hoshiman00.png,res\\image\\vim00.png,,
11,"""What do you want?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
12,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
13,(Maybe I should keep my distance...),res\\image\\hoshiman00.png,res\\image\\vim00.png,,
14,"""I am an experimental subject.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
15,"""...!""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
16,Star Man asked again.,res\\image\\hoshiman00.png,res\\image\\vim00.png,,
17,"""Are you one of those monsters?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
18,"""Yes.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
19,"""What are you trying to do?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
20,"""I’m just watching out of curiosity.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
21,"""Why aren’t you attacking me?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
22,"""I wasn’t designed to harm people.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
23,"""...?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
24,"""...?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
25,"""R-right...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
26,The white figure gazed at Star Man with a look of curiosity.,res\\image\\hoshiman00.png,res\\image\\vim00.png,,
27,"""Did you give water to the children before?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
28,"""Yes.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
29,"""Thank you. I’ll thank you on their behalf.
So, what are you doing here?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
30,"""Nothing. I’m waste—there’s nothing for me to do.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
31,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
32,"""For now, I’ll believe what you’re saying.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
33,"""Thank you.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
34,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
35,"""This is a beautiful place...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
36,(I wonder if he even understands what “beautiful” means...),res\\image\\hoshiman00.png,res\\image\\vim00.png,,
37,"""Beautiful place...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
38,The experimental subject didn’t seem to understand.,res\\image\\hoshiman00.png,res\\image\\vim00.png,,
39,"""Those are fireflies. Did you know that?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
40,"""No, I didn’t.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
41,"""Their glow, combined with the river, moss, and mist—
it all feels... magical to me.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
42,"""...""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
43,The white figure looked like it was “processing” the idea.,res\\image\\hoshiman00.png,res\\image\\vim00.png,,
44,"""If I come back here, will I see you again?""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
45,"""Yes. If the timing works out.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
46,"""I see. Alright then.""",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
47,"(Part of me wants the kids to meet him too...
but it’s also a little scary.)",res\\image\\hoshiman00.png,res\\image\\vim00.png,,
48,Star Man headed back to the ruins.,res\\image\\hoshiman00.png,,,
49,—,,,,
50,The experimental subject stood on a hill. Another white figure was already there.,res\\image\\vim00.png,res\\image\\vsco00.png,,
51,"""How was it?""",res\\image\\vim00.png,res\\image\\vsco00.png,,
52,"""...""",res\\image\\vim00.png,res\\image\\vsco00.png,,
53,"""No threat.""",res\\image\\vim00.png,res\\image\\vsco00.png,,
54,"""I see.""",res\\image\\vim00.png,res\\image\\vsco00.png,,
55,"""Yeah.""",res\\image\\vim00.png,res\\image\\vsco00.png,,
56,"The two stood there, motionless.",res\\image\\vim00.png,res\\image\\vsco00.png,,
