ID,オプション1,オプション2,オプション3,background
1,Star Man stood in front of Trapezoid Man's room.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
2,"""Hello. How are you holding up?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
3,"""No good... The fever, the pain... I can't do anything...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
4,"Seeing Trapezoid Man's pained expression, Star Man frowned.",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
5,"""I have a bit more to discuss. I'll go get the kids, so please wait.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
6,"""Yeah, got it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
7,,,,res\\image\\talkPrecision.png
8,"""Today I met a living islander.
And it seems if I leave this island within a year,
I'll be saved.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
9,"""Huh? Huh? Ah—well, that's great!""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
10,"""Thanks. I want to work harder than ever to escape within a year.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
11,Trapezoid Man and the others nodded.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
12,"""The islander I met today was an old woman...
She said the people who lived here all made contracts with the demon
and were wiped out.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
13,...,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
14,"""Also, the monsters on this island are biological weapons.
They inherit plant traits and can live without eating or drinking.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
15,"""Ahh, so that's how it is.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
16,"""Also, while I was searching for islands along the coast today,
I realized something.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
17,"""Since Poweregg Planet is round, from the mountaintop
we might find farther islands. Tomorrow I plan to head for the summit.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
18,"""Makes sense. I didn't realize until you said it.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
19,"""...""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
20,"""What did she say about that strange white person?""",res\\image\\hoshiman00.png,res\\image\\shikakuman00.png,res\\image\\talkPrecision.png
21,asked Square Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
22,"""Ah—sorry. I didn't ask that.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
23,"""If I meet her again, I'll ask.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkPrecision.png
24,Star Man decided to head to the shrine again tomorrow.,res\\image\\hoshiman00.png,,res\\image\\talkPrecision.png
