ID,Option 1,オプション2,オプション3,,
1,"""I met Nes, but he said he didn't know.
There was nothing around him that could be a clue to Square Man.""",res\\image\\hoshiman00.png,,,
2,Star Man told Trapezoid Man and Triangle Man.,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
3,"""…""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
4,"""So that leaves Gain—or a monster…?""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
5,"""Being attacked by a monster seems more likely.
I don't see why Gain would kidnap Square Man; if he did he'd use him as a hostage to extort us.""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
6,"""Monsters are everywhere on this island…""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
7,"""""""…""""""",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
8,A week had already passed since Square Man went missing.,,,,
9,—,,,,
10,Another week later.,,,,
11,"Two weeks after Square Man disappeared, everyone was starting to give up hope.",,,,
12,"One afternoon Gain showed up.
That day Star Man hadn’t gone far and was at the sea‑cave.
Gain strode up and seized Star Man’s shoulder.",,res\\image\\gain00.png,,
13,"""Hey! You…""",,res\\image\\gain00.png,,
14,"Star Man tried to brush him off, but Gain grabbed him by the throat.",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
15,"""You think you can mock me? I'll kill you, punk!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
16,Gain punched Star Man in the face.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
17,"Star Man staggered and fell.
Gain closed in and stomped on his head again and again.",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
18,Star Man curled up and covered his head with his arms.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
19,"""…!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
20,A sharp pain shot through Star Man’s back.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
21,"Grinning, Gain jabbed Star Man’s back and ribs with a knife, deliberately sinking it about a centimeter each time.",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
22,—,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
23,(…tch),res\\image\\hoshiman00.png,res\\image\\gain00.png,,
24,(So I really have to kill him…),res\\image\\hoshiman00.png,res\\image\\gain00.png,,
25,"Star Man grabbed Gain’s ankle.
As he began to freeze the foot, a dull thunk sounded.",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
26,An arrow was sticking out of Gain’s arm.,,res\\image\\gain00.png,,
27,"Looking around, Star Man saw Trapezoid Man aiming a bow.",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
28,"""You bastard…!""",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
29,"""How did you know where we were?""",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
30,Trapezoid Man asked Gain.,res\\image\\daikeiman00.png,res\\image\\gain00.png,,
31,"""Huh? Why the hell should I tell you!""",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
32,"""…""",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
33,"""Ah.""",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
34,Gain seemed to remember something and started smirking.,res\\image\\daikeiman00.png,res\\image\\gain00.png,,
35,"""The square‑headed brat told me.""",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
36,"""!!""",res\\image\\daikeiman00.png,res\\image\\gain00.png,,
37,Star Man seized Gain’s arm.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
38,"""Where’s Square Man? Talk!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
39,Gain’s arm burst into flames.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
40,"""Wh‑what the—!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
41,Gain struggled; Star Man let go and Gain backed away.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
42,"""I told you, I don’t know! Nes said it!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
43,"""Nes claimed he didn’t know anything about Square Man.""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
44,"""…!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
45,"""Tch, idiots!
That guy never tells the truth!""",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
46,Gain turned to flee. Star Man gave chase.,res\\image\\hoshiman00.png,res\\image\\gain00.png,,
47,"(If I let him escape, we lose the lead to Square Man.
Prison or not—I don’t care anymore!)",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
48,"As Star Man sprinted, ghosts appeared from nowhere and drifted toward Triangle Man and Trapezoid Man.",res\\image\\hoshiman00.png,res\\image\\gain00.png,,
49,(Damn… now of all times!),,res\\image\\shikakuman01.png,,
50,(Ghosts only move slowly…),res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
51,"(I’d like to deal with them later, but that would leave Trapezoid Man—)",res\\image\\hoshiman00.png,res\\image\\shikakuman01.png,,
